Class combination;Number of classes;K worst features rejected;Mean Accuracy;Worst features labels
(1, 2, 3, 4, 5, 6);6;0;0.68;
(1, 2, 3, 4, 5, 6);6;1;0.71;SSC29
(1, 2, 3, 4, 5, 6);6;2;0.69;SSC29 ZC40
(1, 2, 3, 4, 5, 6);6;3;0.69;ZC40 SSC29 SSC30
(1, 2, 3, 4, 5, 6);6;4;0.7;ZC40 SSC29 SSC30 SSC22
(1, 2, 3, 4, 5, 6);6;5;0.68;ZC40 SSC29 SSC30 SSC22 VAR37
(1, 2, 3, 4, 5, 6);6;6;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30
(1, 2, 3, 4, 5, 6);6;7;0.7;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38
(1, 2, 3, 4, 5, 6);6;8;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 ZC14
(1, 2, 3, 4, 5, 6);6;9;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 ZC14 ZC30
(1, 2, 3, 4, 5, 6);6;10;0.7;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 ZC14 ZC30 VAR21
(1, 2, 3, 4, 5, 6);6;11;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 ZC14 ZC30 VAR21 SSC16
(1, 2, 3, 4, 5, 6);6;12;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 ZC14 ZC30 VAR21 SSC16 VAR36
(1, 2, 3, 4, 5, 6);6;13;0.7;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 ZC30 VAR36 VAR9 SSC16 ZC14 VAR21
(1, 2, 3, 4, 5, 6);6;14;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 ZC30 VAR36 VAR9 SSC16 ZC14 VAR21 SSC13
(1, 2, 3, 4, 5, 6);6;15;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 ZC30 VAR36 VAR9 SSC16 ZC14 VAR21 SSC13 SSC37
(1, 2, 3, 4, 5, 6);6;16;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 ZC30 VAR36 VAR9 SSC16 ZC14 VAR21 SSC13 SSC37 VAR13
(1, 2, 3, 4, 5, 6);6;17;0.69;SSC29 ZC39 VAR37 ZC40 SSC22 SSC30 VAR38 ZC30 VAR36 VAR9 SSC16 ZC14 VAR21 SSC13 SSC37 VAR13 VAR34
