Class combination;Number of classes;K worst features rejected;Measure name;Measure score
(1, 2, 3, 4, 5);5;0;f1;0.665
(1, 2, 3, 4, 5);5;1;f1;0.665
(1, 2, 3, 4, 5);5;2;f1;0.665
(1, 2, 3, 4, 5);5;3;f1;0.665
(1, 2, 3, 4, 5);5;4;f1;0.665
(1, 2, 3, 4, 5);5;5;f1;0.665
(1, 2, 3, 4, 5);5;6;f1;0.665
(1, 2, 3, 4, 5);5;7;f1;0.665
(1, 2, 3, 4, 5);5;8;f1;0.665
(1, 2, 3, 4, 5);5;9;f1;0.665
(1, 2, 3, 4, 5);5;10;f1;0.665
(1, 2, 3, 4, 5);5;11;f1;0.665
(1, 2, 3, 4, 5);5;12;f1;0.665
(1, 2, 3, 4, 5);5;13;f1;0.665
(1, 2, 3, 4, 5);5;14;f1;0.665
(1, 2, 3, 4, 5);5;15;f1;0.665
(1, 2, 3, 4, 5);5;16;f1;0.665
(1, 2, 3, 4, 5);5;17;f1;0.665
(1, 2, 3, 4, 5);5;18;f1;0.665
(1, 2, 3, 4, 5);5;19;f1;0.665
(1, 2, 3, 4, 5);5;20;f1;0.665
(1, 2, 3, 4, 5);5;21;f1;0.665
(1, 2, 3, 4, 5);5;22;f1;0.665
(1, 2, 3, 4, 5);5;23;f1;0.665
(1, 2, 3, 4, 5);5;24;f1;0.665
(1, 2, 3, 4, 5);5;25;f1;0.665
(1, 2, 3, 4, 5);5;26;f1;0.665
(1, 2, 3, 4, 5);5;27;f1;0.665
(1, 2, 3, 4, 5);5;28;f1;0.665
(1, 2, 3, 4, 5);5;29;f1;0.665
(1, 2, 3, 4, 5);5;30;f1;0.665
(1, 2, 3, 4, 5);5;31;f1;0.665
(1, 2, 3, 4, 5);5;32;f1;0.665
(1, 2, 3, 4, 5);5;33;f1;0.665
(1, 2, 3, 4, 5);5;34;f1;0.665
(1, 2, 3, 4, 5);5;35;f1;0.665
(1, 2, 3, 4, 5);5;36;f1;0.665
(1, 2, 3, 4, 5);5;37;f1;0.665
(1, 2, 3, 4, 5);5;38;f1;0.665
(1, 2, 3, 4, 5);5;39;f1;0.665
(1, 2, 3, 4, 5);5;40;f1;0.665
(1, 2, 3, 4, 5);5;41;f1;0.665
(1, 2, 3, 4, 5);5;42;f1;0.665
(1, 2, 3, 4, 5);5;43;f1;0.665
(1, 2, 3, 4, 5);5;44;f1;0.665
(1, 2, 3, 4, 5);5;45;f1;0.665
(1, 2, 3, 4, 5);5;46;f1;0.665
(1, 2, 3, 4, 5);5;47;f1;0.665
(1, 2, 3, 4, 5);5;48;f1;0.665
(1, 2, 3, 4, 5);5;49;f1;0.665
(1, 2, 3, 4, 5);5;50;f1;0.665
(1, 2, 3, 4, 5);5;51;f1;0.665
(1, 2, 3, 4, 5);5;52;f1;0.665
(1, 2, 3, 4, 5);5;53;f1;0.665
(1, 2, 3, 4, 5);5;54;f1;0.665
(1, 2, 3, 4, 5);5;55;f1;0.665
(1, 2, 3, 4, 5);5;56;f1;0.665
(1, 2, 3, 4, 5);5;57;f1;0.665
(1, 2, 3, 4, 5);5;58;f1;0.665
(1, 2, 3, 4, 5);5;59;f1;0.665
(1, 2, 3, 4, 5);5;60;f1;0.665
(1, 2, 3, 4, 5);5;61;f1;0.665
(1, 2, 3, 4, 5);5;62;f1;0.665
(1, 2, 3, 4, 5);5;63;f1;0.665
(1, 2, 3, 4, 5);5;64;f1;0.665
(1, 2, 3, 4, 5);5;65;f1;0.665
(1, 2, 3, 4, 5);5;66;f1;0.665
(1, 2, 3, 4, 5);5;67;f1;0.665
(1, 2, 3, 4, 5);5;68;f1;0.665
(1, 2, 3, 4, 5);5;69;f1;0.665
(1, 2, 3, 4, 5);5;70;f1;0.665
(1, 2, 3, 4, 5);5;71;f1;0.665
(1, 2, 3, 4, 5);5;72;f1;0.665
(1, 2, 3, 4, 5);5;73;f1;0.665
(1, 2, 3, 4, 5);5;74;f1;0.665
(1, 2, 3, 4, 5);5;75;f1;0.665
(1, 2, 3, 4, 5);5;76;f1;0.665
(1, 2, 3, 4, 5);5;77;f1;0.665
(1, 2, 3, 4, 5);5;78;f1;0.665
(1, 2, 3, 4, 5);5;79;f1;0.665
(1, 2, 3, 4, 5);5;80;f1;0.665
(1, 2, 3, 4, 5);5;81;f1;0.665
(1, 2, 3, 4, 5);5;82;f1;0.665
(1, 2, 3, 4, 5);5;83;f1;0.665
(1, 2, 3, 4, 5);5;84;f1;0.665
(1, 2, 3, 4, 5);5;85;f1;0.665
(1, 2, 3, 4, 5);5;86;f1;0.665
(1, 2, 3, 4, 5);5;87;f1;0.665
(1, 2, 3, 4, 5);5;88;f1;0.665
(1, 2, 3, 4, 5);5;89;f1;0.665
(1, 2, 3, 4, 5);5;90;f1;0.665
(1, 2, 3, 4, 5);5;91;f1;0.665
(1, 2, 3, 4, 5);5;92;f1;0.665
(1, 2, 3, 4, 5);5;93;f1;0.665
(1, 2, 3, 4, 5);5;94;f1;0.665
(1, 2, 3, 4, 5);5;95;f1;0.665
(1, 2, 3, 4, 5);5;96;f1;0.665
(1, 2, 3, 4, 5);5;97;f1;0.665
(1, 2, 3, 4, 5);5;98;f1;0.665
(1, 2, 3, 4, 5);5;99;f1;0.665
