Class combination;Number of classes;K worst features rejected;Measure name;Measure score
(1, 2, 3, 4, 5, 6);6;0;f1;0.679
(1, 2, 3, 4, 5, 6);6;1;f1;0.679
(1, 2, 3, 4, 5, 6);6;2;f1;0.679
(1, 2, 3, 4, 5, 6);6;3;f1;0.679
(1, 2, 3, 4, 5, 6);6;4;f1;0.679
(1, 2, 3, 4, 5, 6);6;5;f1;0.679
(1, 2, 3, 4, 5, 6);6;6;f1;0.679
(1, 2, 3, 4, 5, 6);6;7;f1;0.679
(1, 2, 3, 4, 5, 6);6;8;f1;0.679
(1, 2, 3, 4, 5, 6);6;9;f1;0.679
(1, 2, 3, 4, 5, 6);6;10;f1;0.679
(1, 2, 3, 4, 5, 6);6;11;f1;0.679
(1, 2, 3, 4, 5, 6);6;12;f1;0.679
(1, 2, 3, 4, 5, 6);6;13;f1;0.679
(1, 2, 3, 4, 5, 6);6;14;f1;0.679
(1, 2, 3, 4, 5, 6);6;15;f1;0.679
(1, 2, 3, 4, 5, 6);6;16;f1;0.679
(1, 2, 3, 4, 5, 6);6;17;f1;0.679
(1, 2, 3, 4, 5, 6);6;18;f1;0.679
(1, 2, 3, 4, 5, 6);6;19;f1;0.679
(1, 2, 3, 4, 5, 6);6;20;f1;0.679
(1, 2, 3, 4, 5, 6);6;21;f1;0.679
(1, 2, 3, 4, 5, 6);6;22;f1;0.679
(1, 2, 3, 4, 5, 6);6;23;f1;0.679
(1, 2, 3, 4, 5, 6);6;24;f1;0.679
(1, 2, 3, 4, 5, 6);6;25;f1;0.679
(1, 2, 3, 4, 5, 6);6;26;f1;0.679
(1, 2, 3, 4, 5, 6);6;27;f1;0.679
(1, 2, 3, 4, 5, 6);6;28;f1;0.679
(1, 2, 3, 4, 5, 6);6;29;f1;0.679
(1, 2, 3, 4, 5, 6);6;30;f1;0.679
(1, 2, 3, 4, 5, 6);6;31;f1;0.679
(1, 2, 3, 4, 5, 6);6;32;f1;0.679
(1, 2, 3, 4, 5, 6);6;33;f1;0.679
(1, 2, 3, 4, 5, 6);6;34;f1;0.679
(1, 2, 3, 4, 5, 6);6;35;f1;0.679
(1, 2, 3, 4, 5, 6);6;36;f1;0.679
(1, 2, 3, 4, 5, 6);6;37;f1;0.679
(1, 2, 3, 4, 5, 6);6;38;f1;0.679
(1, 2, 3, 4, 5, 6);6;39;f1;0.679
(1, 2, 3, 4, 5, 6);6;40;f1;0.679
(1, 2, 3, 4, 5, 6);6;41;f1;0.679
(1, 2, 3, 4, 5, 6);6;42;f1;0.679
(1, 2, 3, 4, 5, 6);6;43;f1;0.679
(1, 2, 3, 4, 5, 6);6;44;f1;0.679
(1, 2, 3, 4, 5, 6);6;45;f1;0.679
(1, 2, 3, 4, 5, 6);6;46;f1;0.679
(1, 2, 3, 4, 5, 6);6;47;f1;0.679
(1, 2, 3, 4, 5, 6);6;48;f1;0.679
(1, 2, 3, 4, 5, 6);6;49;f1;0.679
(1, 2, 3, 4, 5, 6);6;50;f1;0.679
(1, 2, 3, 4, 5, 6);6;51;f1;0.679
(1, 2, 3, 4, 5, 6);6;52;f1;0.679
(1, 2, 3, 4, 5, 6);6;53;f1;0.679
(1, 2, 3, 4, 5, 6);6;54;f1;0.679
(1, 2, 3, 4, 5, 6);6;55;f1;0.679
(1, 2, 3, 4, 5, 6);6;56;f1;0.679
(1, 2, 3, 4, 5, 6);6;57;f1;0.679
(1, 2, 3, 4, 5, 6);6;58;f1;0.679
(1, 2, 3, 4, 5, 6);6;59;f1;0.679
(1, 2, 3, 4, 5, 6);6;60;f1;0.679
(1, 2, 3, 4, 5, 6);6;61;f1;0.679
(1, 2, 3, 4, 5, 6);6;62;f1;0.679
(1, 2, 3, 4, 5, 6);6;63;f1;0.679
(1, 2, 3, 4, 5, 6);6;64;f1;0.679
(1, 2, 3, 4, 5, 6);6;65;f1;0.679
(1, 2, 3, 4, 5, 6);6;66;f1;0.679
(1, 2, 3, 4, 5, 6);6;67;f1;0.679
(1, 2, 3, 4, 5, 6);6;68;f1;0.679
(1, 2, 3, 4, 5, 6);6;69;f1;0.679
(1, 2, 3, 4, 5, 6);6;70;f1;0.679
(1, 2, 3, 4, 5, 6);6;71;f1;0.679
(1, 2, 3, 4, 5, 6);6;72;f1;0.679
(1, 2, 3, 4, 5, 6);6;73;f1;0.679
(1, 2, 3, 4, 5, 6);6;74;f1;0.679
(1, 2, 3, 4, 5, 6);6;75;f1;0.679
(1, 2, 3, 4, 5, 6);6;76;f1;0.679
(1, 2, 3, 4, 5, 6);6;77;f1;0.679
(1, 2, 3, 4, 5, 6);6;78;f1;0.679
(1, 2, 3, 4, 5, 6);6;79;f1;0.679
(1, 2, 3, 4, 5, 6);6;80;f1;0.679
(1, 2, 3, 4, 5, 6);6;81;f1;0.679
(1, 2, 3, 4, 5, 6);6;82;f1;0.679
(1, 2, 3, 4, 5, 6);6;83;f1;0.679
(1, 2, 3, 4, 5, 6);6;84;f1;0.679
(1, 2, 3, 4, 5, 6);6;85;f1;0.679
(1, 2, 3, 4, 5, 6);6;86;f1;0.679
(1, 2, 3, 4, 5, 6);6;87;f1;0.679
(1, 2, 3, 4, 5, 6);6;88;f1;0.679
(1, 2, 3, 4, 5, 6);6;89;f1;0.679
(1, 2, 3, 4, 5, 6);6;90;f1;0.679
(1, 2, 3, 4, 5, 6);6;91;f1;0.679
(1, 2, 3, 4, 5, 6);6;92;f1;0.679
(1, 2, 3, 4, 5, 6);6;93;f1;0.679
(1, 2, 3, 4, 5, 6);6;94;f1;0.679
(1, 2, 3, 4, 5, 6);6;95;f1;0.679
(1, 2, 3, 4, 5, 6);6;96;f1;0.679
(1, 2, 3, 4, 5, 6);6;97;f1;0.679
(1, 2, 3, 4, 5, 6);6;98;f1;0.679
(1, 2, 3, 4, 5, 6);6;99;f1;0.679
(1, 2, 3, 4, 5, 6);6;100;f1;0.679
(1, 2, 3, 4, 5, 6);6;101;f1;0.679
(1, 2, 3, 4, 5, 6);6;102;f1;0.679
(1, 2, 3, 4, 5, 6);6;103;f1;0.679
(1, 2, 3, 4, 5, 6);6;104;f1;0.679
(1, 2, 3, 4, 5, 6);6;105;f1;0.679
(1, 2, 3, 4, 5, 6);6;106;f1;0.679
(1, 2, 3, 4, 5, 6);6;107;f1;0.679
(1, 2, 3, 4, 5, 6);6;108;f1;0.679
(1, 2, 3, 4, 5, 6);6;109;f1;0.679
(1, 2, 3, 4, 5, 6);6;110;f1;0.679
(1, 2, 3, 4, 5, 6);6;111;f1;0.679
(1, 2, 3, 4, 5, 6);6;112;f1;0.679
(1, 2, 3, 4, 5, 6);6;113;f1;0.679
(1, 2, 3, 4, 5, 6);6;114;f1;0.679
(1, 2, 3, 4, 5, 6);6;115;f1;0.679
(1, 2, 3, 4, 5, 6);6;116;f1;0.679
(1, 2, 3, 4, 5, 6);6;117;f1;0.679
(1, 2, 3, 4, 5, 6);6;118;f1;0.679
(1, 2, 3, 4, 5, 6);6;119;f1;0.679
(1, 2, 3, 4, 5, 6);6;120;f1;0.679
(1, 2, 3, 4, 5, 6);6;121;f1;0.679
(1, 2, 3, 4, 5, 6);6;122;f1;0.679
(1, 2, 3, 4, 5, 6);6;123;f1;0.679
(1, 2, 3, 4, 5, 6);6;124;f1;0.679
(1, 2, 3, 4, 5, 6);6;125;f1;0.679
(1, 2, 3, 4, 5, 6);6;126;f1;0.679
(1, 2, 3, 4, 5, 6);6;127;f1;0.679
(1, 2, 3, 4, 5, 6);6;128;f1;0.679
(1, 2, 3, 4, 5, 6);6;129;f1;0.679
(1, 2, 3, 4, 5, 6);6;130;f1;0.679
(1, 2, 3, 4, 5, 6);6;131;f1;0.679
(1, 2, 3, 4, 5, 6);6;132;f1;0.679
(1, 2, 3, 4, 5, 6);6;133;f1;0.679
(1, 2, 3, 4, 5, 6);6;134;f1;0.679
(1, 2, 3, 4, 5, 6);6;135;f1;0.679
(1, 2, 3, 4, 5, 6);6;136;f1;0.679
(1, 2, 3, 4, 5, 6);6;137;f1;0.679
(1, 2, 3, 4, 5, 6);6;138;f1;0.679
(1, 2, 3, 4, 5, 6);6;139;f1;0.679
(1, 2, 3, 4, 5, 6);6;140;f1;0.679
(1, 2, 3, 4, 5, 6);6;141;f1;0.679
(1, 2, 3, 4, 5, 6);6;142;f1;0.679
(1, 2, 3, 4, 5, 6);6;143;f1;0.679
(1, 2, 3, 4, 5, 6);6;144;f1;0.679
(1, 2, 3, 4, 5, 6);6;145;f1;0.679
(1, 2, 3, 4, 5, 6);6;146;f1;0.679
(1, 2, 3, 4, 5, 6);6;147;f1;0.679
(1, 2, 3, 4, 5, 6);6;148;f1;0.679
(1, 2, 3, 4, 5, 6);6;149;f1;0.679
(1, 2, 3, 4, 5, 6);6;150;f1;0.679
(1, 2, 3, 4, 5, 6);6;151;f1;0.679
(1, 2, 3, 4, 5, 6);6;152;f1;0.679
(1, 2, 3, 4, 5, 6);6;153;f1;0.679
(1, 2, 3, 4, 5, 6);6;154;f1;0.679
(1, 2, 3, 4, 5, 6);6;155;f1;0.679
(1, 2, 3, 4, 5, 6);6;156;f1;0.679
(1, 2, 3, 4, 5, 6);6;157;f1;0.679
(1, 2, 3, 4, 5, 6);6;158;f1;0.679
(1, 2, 3, 4, 5, 6);6;159;f1;0.679
(1, 2, 3, 4, 5, 6);6;160;f1;0.679
(1, 2, 3, 4, 5, 6);6;161;f1;0.679
(1, 2, 3, 4, 5, 6);6;162;f1;0.679
(1, 2, 3, 4, 5, 6);6;163;f1;0.679
(1, 2, 3, 4, 5, 6);6;164;f1;0.679
(1, 2, 3, 4, 5, 6);6;165;f1;0.682
(1, 2, 3, 4, 5, 6);6;166;f1;0.682
(1, 2, 3, 4, 5, 6);6;167;f1;0.682
(1, 2, 3, 4, 5, 6);6;168;f1;0.682
(1, 2, 3, 4, 5, 6);6;169;f1;0.682
(1, 2, 3, 4, 5, 6);6;170;f1;0.682
(1, 2, 3, 4, 5, 6);6;171;f1;0.682
(1, 2, 3, 4, 5, 6);6;172;f1;0.682
(1, 2, 3, 4, 5, 6);6;173;f1;0.682
(1, 2, 3, 4, 5, 6);6;174;f1;0.682
(1, 2, 3, 4, 5, 6);6;175;f1;0.682
(1, 2, 3, 4, 5, 6);6;176;f1;0.682
(1, 2, 3, 4, 5, 6);6;177;f1;0.682
(1, 2, 3, 4, 5, 6);6;178;f1;0.682
(1, 2, 3, 4, 5, 6);6;179;f1;0.682
(1, 2, 3, 4, 5, 6);6;180;f1;0.682
(1, 2, 3, 4, 5, 6);6;181;f1;0.682
(1, 2, 3, 4, 5, 6);6;182;f1;0.682
(1, 2, 3, 4, 5, 6);6;183;f1;0.682
(1, 2, 3, 4, 5, 6);6;184;f1;0.682
(1, 2, 3, 4, 5, 6);6;185;f1;0.682
(1, 2, 3, 4, 5, 6);6;186;f1;0.682
(1, 2, 3, 4, 5, 6);6;187;f1;0.682
(1, 2, 3, 4, 5, 6);6;188;f1;0.682
(1, 2, 3, 4, 5, 6);6;189;f1;0.682
(1, 2, 3, 4, 5, 6);6;190;f1;0.682
(1, 2, 3, 4, 5, 6);6;191;f1;0.682
(1, 2, 3, 4, 5, 6);6;192;f1;0.682
(1, 2, 3, 4, 5, 6);6;193;f1;0.682
(1, 2, 3, 4, 5, 6);6;194;f1;0.682
(1, 2, 3, 4, 5, 6);6;195;f1;0.682
(1, 2, 3, 4, 5, 6);6;196;f1;0.682
(1, 2, 3, 4, 5, 6);6;197;f1;0.682
(1, 2, 3, 4, 5, 6);6;198;f1;0.682
(1, 2, 3, 4, 5, 6);6;199;f1;0.682
(1, 2, 3, 4, 5, 6);6;200;f1;0.682
(1, 2, 3, 4, 5, 6);6;201;f1;0.682
(1, 2, 3, 4, 5, 6);6;202;f1;0.682
(1, 2, 3, 4, 5, 6);6;203;f1;0.682
(1, 2, 3, 4, 5, 6);6;204;f1;0.682
(1, 2, 3, 4, 5, 6);6;205;f1;0.682
(1, 2, 3, 4, 5, 6);6;206;f1;0.682
(1, 2, 3, 4, 5, 6);6;207;f1;0.682
(1, 2, 3, 4, 5, 6);6;208;f1;0.682
(1, 2, 3, 4, 5, 6);6;209;f1;0.682
(1, 2, 3, 4, 5, 6);6;210;f1;0.682
(1, 2, 3, 4, 5, 6);6;211;f1;0.682
(1, 2, 3, 4, 5, 6);6;212;f1;0.682
(1, 2, 3, 4, 5, 6);6;213;f1;0.682
(1, 2, 3, 4, 5, 6);6;214;f1;0.682
(1, 2, 3, 4, 5, 6);6;215;f1;0.682
(1, 2, 3, 4, 5, 6);6;216;f1;0.682
(1, 2, 3, 4, 5, 6);6;217;f1;0.682
(1, 2, 3, 4, 5, 6);6;218;f1;0.682
(1, 2, 3, 4, 5, 6);6;219;f1;0.682
(1, 2, 3, 4, 5, 6);6;220;f1;0.682
(1, 2, 3, 4, 5, 6);6;221;f1;0.682
(1, 2, 3, 4, 5, 6);6;222;f1;0.682
(1, 2, 3, 4, 5, 6);6;223;f1;0.682
(1, 2, 3, 4, 5, 6);6;224;f1;0.682
(1, 2, 3, 4, 5, 6);6;225;f1;0.682
(1, 2, 3, 4, 5, 6);6;226;f1;0.682
(1, 2, 3, 4, 5, 6);6;227;f1;0.682
(1, 2, 3, 4, 5, 6);6;228;f1;0.682
(1, 2, 3, 4, 5, 6);6;229;f1;0.682
(1, 2, 3, 4, 5, 6);6;230;f1;0.682
(1, 2, 3, 4, 5, 6);6;231;f1;0.682
(1, 2, 3, 4, 5, 6);6;232;f1;0.682
(1, 2, 3, 4, 5, 6);6;233;f1;0.682
(1, 2, 3, 4, 5, 6);6;234;f1;0.682
(1, 2, 3, 4, 5, 6);6;235;f1;0.682
(1, 2, 3, 4, 5, 6);6;236;f1;0.682
(1, 2, 3, 4, 5, 6);6;237;f1;0.682
(1, 2, 3, 4, 5, 6);6;238;f1;0.682
(1, 2, 3, 4, 5, 6);6;239;f1;0.682
(1, 2, 3, 4, 5, 6);6;240;f1;0.682
(1, 2, 3, 4, 5, 6);6;241;f1;0.682
(1, 2, 3, 4, 5, 6);6;242;f1;0.682
(1, 2, 3, 4, 5, 6);6;243;f1;0.686
(1, 2, 3, 4, 5, 6);6;244;f1;0.686
(1, 2, 3, 4, 5, 6);6;245;f1;0.686
(1, 2, 3, 4, 5, 6);6;246;f1;0.686
(1, 2, 3, 4, 5, 6);6;247;f1;0.686
(1, 2, 3, 4, 5, 6);6;248;f1;0.686
(1, 2, 3, 4, 5, 6);6;249;f1;0.686
(1, 2, 3, 4, 5, 6);6;250;f1;0.69
(1, 2, 3, 4, 5, 6);6;251;f1;0.69
(1, 2, 3, 4, 5, 6);6;252;f1;0.69
(1, 2, 3, 4, 5, 6);6;253;f1;0.69
(1, 2, 3, 4, 5, 6);6;254;f1;0.69
(1, 2, 3, 4, 5, 6);6;255;f1;0.69
(1, 2, 3, 4, 5, 6);6;256;f1;0.69
(1, 2, 3, 4, 5, 6);6;257;f1;0.69
(1, 2, 3, 4, 5, 6);6;258;f1;0.69
(1, 2, 3, 4, 5, 6);6;259;f1;0.69
(1, 2, 3, 4, 5, 6);6;260;f1;0.69
(1, 2, 3, 4, 5, 6);6;261;f1;0.69
(1, 2, 3, 4, 5, 6);6;262;f1;0.69
(1, 2, 3, 4, 5, 6);6;263;f1;0.69
(1, 2, 3, 4, 5, 6);6;264;f1;0.69
(1, 2, 3, 4, 5, 6);6;265;f1;0.69
(1, 2, 3, 4, 5, 6);6;266;f1;0.69
(1, 2, 3, 4, 5, 6);6;267;f1;0.69
(1, 2, 3, 4, 5, 6);6;268;f1;0.69
(1, 2, 3, 4, 5, 6);6;269;f1;0.69
(1, 2, 3, 4, 5, 6);6;270;f1;0.69
(1, 2, 3, 4, 5, 6);6;271;f1;0.692
(1, 2, 3, 4, 5, 6);6;272;f1;0.692
(1, 2, 3, 4, 5, 6);6;273;f1;0.692
(1, 2, 3, 4, 5, 6);6;274;f1;0.692
(1, 2, 3, 4, 5, 6);6;275;f1;0.692
(1, 2, 3, 4, 5, 6);6;276;f1;0.692
(1, 2, 3, 4, 5, 6);6;277;f1;0.692
(1, 2, 3, 4, 5, 6);6;278;f1;0.692
(1, 2, 3, 4, 5, 6);6;279;f1;0.692
(1, 2, 3, 4, 5, 6);6;280;f1;0.692
(1, 2, 3, 4, 5, 6);6;281;f1;0.692
(1, 2, 3, 4, 5, 6);6;282;f1;0.692
(1, 2, 3, 4, 5, 6);6;283;f1;0.692
(1, 2, 3, 4, 5, 6);6;284;f1;0.692
(1, 2, 3, 4, 5, 6);6;285;f1;0.692
(1, 2, 3, 4, 5, 6);6;286;f1;0.692
(1, 2, 3, 4, 5, 6);6;287;f1;0.692
(1, 2, 3, 4, 5, 6);6;288;f1;0.695
(1, 2, 3, 4, 5, 6);6;289;f1;0.699
(1, 2, 3, 4, 5, 6);6;290;f1;0.699
(1, 2, 3, 4, 5, 6);6;291;f1;0.699
(1, 2, 3, 4, 5, 6);6;292;f1;0.699
(1, 2, 3, 4, 5, 6);6;293;f1;0.699
(1, 2, 3, 4, 5, 6);6;294;f1;0.699
(1, 2, 3, 4, 5, 6);6;295;f1;0.699
(1, 2, 3, 4, 5, 6);6;296;f1;0.699
(1, 2, 3, 4, 5, 6);6;297;f1;0.699
(1, 2, 3, 4, 5, 6);6;298;f1;0.724
(1, 2, 3, 4, 5, 6);6;299;f1;0.742
(1, 2, 3, 4, 5, 6);6;300;f1;0.742
(1, 2, 3, 4, 5, 6);6;301;f1;0.742
(1, 2, 3, 4, 5, 6);6;302;f1;0.742
(1, 2, 3, 4, 5, 6);6;303;f1;0.742
(1, 2, 3, 4, 5, 6);6;304;f1;0.742
(1, 2, 3, 4, 5, 6);6;305;f1;0.742
(1, 2, 3, 4, 5, 6);6;306;f1;0.745
(1, 2, 3, 4, 5, 6);6;307;f1;0.788
(1, 2, 3, 4, 5, 6);6;308;f1;0.788
(1, 2, 3, 4, 5, 6);6;309;f1;0.807
(1, 2, 3, 4, 5, 6);6;310;f1;0.807
(1, 2, 3, 4, 5, 6);6;311;f1;0.807
(1, 2, 3, 4, 5, 6);6;312;f1;0.807
(1, 2, 3, 4, 5, 6);6;313;f1;0.807
(1, 2, 3, 4, 5, 6);6;314;f1;0.809
(1, 2, 3, 4, 5, 6);6;315;f1;0.81
(1, 2, 3, 4, 5, 6);6;316;f1;0.811
(1, 2, 3, 4, 5, 6);6;317;f1;0.811
(1, 2, 3, 4, 5, 6);6;318;f1;0.815
(1, 2, 3, 4, 5, 6);6;319;f1;0.829
(1, 2, 3, 4, 5, 6);6;0;f2;0.0
(1, 2, 3, 4, 5, 6);6;1;f2;0.0
(1, 2, 3, 4, 5, 6);6;2;f2;0.0
(1, 2, 3, 4, 5, 6);6;3;f2;0.0
(1, 2, 3, 4, 5, 6);6;4;f2;0.0
(1, 2, 3, 4, 5, 6);6;5;f2;0.0
(1, 2, 3, 4, 5, 6);6;6;f2;0.0
(1, 2, 3, 4, 5, 6);6;7;f2;0.0
(1, 2, 3, 4, 5, 6);6;8;f2;0.0
(1, 2, 3, 4, 5, 6);6;9;f2;0.0
(1, 2, 3, 4, 5, 6);6;10;f2;0.0
(1, 2, 3, 4, 5, 6);6;11;f2;0.0
(1, 2, 3, 4, 5, 6);6;12;f2;0.0
(1, 2, 3, 4, 5, 6);6;13;f2;0.0
(1, 2, 3, 4, 5, 6);6;14;f2;0.0
(1, 2, 3, 4, 5, 6);6;15;f2;0.0
(1, 2, 3, 4, 5, 6);6;16;f2;0.0
(1, 2, 3, 4, 5, 6);6;17;f2;0.0
(1, 2, 3, 4, 5, 6);6;18;f2;0.0
(1, 2, 3, 4, 5, 6);6;19;f2;0.0
(1, 2, 3, 4, 5, 6);6;20;f2;0.0
(1, 2, 3, 4, 5, 6);6;21;f2;0.0
(1, 2, 3, 4, 5, 6);6;22;f2;0.0
(1, 2, 3, 4, 5, 6);6;23;f2;0.0
(1, 2, 3, 4, 5, 6);6;24;f2;0.0
(1, 2, 3, 4, 5, 6);6;25;f2;0.0
(1, 2, 3, 4, 5, 6);6;26;f2;0.0
(1, 2, 3, 4, 5, 6);6;27;f2;0.0
(1, 2, 3, 4, 5, 6);6;28;f2;0.0
(1, 2, 3, 4, 5, 6);6;29;f2;0.0
(1, 2, 3, 4, 5, 6);6;30;f2;0.0
(1, 2, 3, 4, 5, 6);6;31;f2;0.0
(1, 2, 3, 4, 5, 6);6;32;f2;0.0
(1, 2, 3, 4, 5, 6);6;33;f2;0.0
(1, 2, 3, 4, 5, 6);6;34;f2;0.0
(1, 2, 3, 4, 5, 6);6;35;f2;0.0
(1, 2, 3, 4, 5, 6);6;36;f2;0.0
(1, 2, 3, 4, 5, 6);6;37;f2;0.0
(1, 2, 3, 4, 5, 6);6;38;f2;0.0
(1, 2, 3, 4, 5, 6);6;39;f2;0.0
(1, 2, 3, 4, 5, 6);6;40;f2;0.0
(1, 2, 3, 4, 5, 6);6;41;f2;0.0
(1, 2, 3, 4, 5, 6);6;42;f2;0.0
(1, 2, 3, 4, 5, 6);6;43;f2;0.0
(1, 2, 3, 4, 5, 6);6;44;f2;0.0
(1, 2, 3, 4, 5, 6);6;45;f2;0.0
(1, 2, 3, 4, 5, 6);6;46;f2;0.0
(1, 2, 3, 4, 5, 6);6;47;f2;0.0
(1, 2, 3, 4, 5, 6);6;48;f2;0.0
(1, 2, 3, 4, 5, 6);6;49;f2;0.0
(1, 2, 3, 4, 5, 6);6;50;f2;0.0
(1, 2, 3, 4, 5, 6);6;51;f2;0.0
(1, 2, 3, 4, 5, 6);6;52;f2;0.0
(1, 2, 3, 4, 5, 6);6;53;f2;0.0
(1, 2, 3, 4, 5, 6);6;54;f2;0.0
(1, 2, 3, 4, 5, 6);6;55;f2;0.0
(1, 2, 3, 4, 5, 6);6;56;f2;0.0
(1, 2, 3, 4, 5, 6);6;57;f2;0.0
(1, 2, 3, 4, 5, 6);6;58;f2;0.0
(1, 2, 3, 4, 5, 6);6;59;f2;0.0
(1, 2, 3, 4, 5, 6);6;60;f2;0.0
(1, 2, 3, 4, 5, 6);6;61;f2;0.0
(1, 2, 3, 4, 5, 6);6;62;f2;0.0
(1, 2, 3, 4, 5, 6);6;63;f2;0.0
(1, 2, 3, 4, 5, 6);6;64;f2;0.0
(1, 2, 3, 4, 5, 6);6;65;f2;0.0
(1, 2, 3, 4, 5, 6);6;66;f2;0.0
(1, 2, 3, 4, 5, 6);6;67;f2;0.0
(1, 2, 3, 4, 5, 6);6;68;f2;0.0
(1, 2, 3, 4, 5, 6);6;69;f2;0.0
(1, 2, 3, 4, 5, 6);6;70;f2;0.0
(1, 2, 3, 4, 5, 6);6;71;f2;0.0
(1, 2, 3, 4, 5, 6);6;72;f2;0.0
(1, 2, 3, 4, 5, 6);6;73;f2;0.0
(1, 2, 3, 4, 5, 6);6;74;f2;0.0
(1, 2, 3, 4, 5, 6);6;75;f2;0.0
(1, 2, 3, 4, 5, 6);6;76;f2;0.0
(1, 2, 3, 4, 5, 6);6;77;f2;0.0
(1, 2, 3, 4, 5, 6);6;78;f2;0.0
(1, 2, 3, 4, 5, 6);6;79;f2;0.0
(1, 2, 3, 4, 5, 6);6;80;f2;0.0
(1, 2, 3, 4, 5, 6);6;81;f2;0.0
(1, 2, 3, 4, 5, 6);6;82;f2;0.0
(1, 2, 3, 4, 5, 6);6;83;f2;0.0
(1, 2, 3, 4, 5, 6);6;84;f2;0.0
(1, 2, 3, 4, 5, 6);6;85;f2;0.0
(1, 2, 3, 4, 5, 6);6;86;f2;0.0
(1, 2, 3, 4, 5, 6);6;87;f2;0.0
(1, 2, 3, 4, 5, 6);6;88;f2;0.0
(1, 2, 3, 4, 5, 6);6;89;f2;0.0
(1, 2, 3, 4, 5, 6);6;90;f2;0.0
(1, 2, 3, 4, 5, 6);6;91;f2;0.0
(1, 2, 3, 4, 5, 6);6;92;f2;0.0
(1, 2, 3, 4, 5, 6);6;93;f2;0.0
(1, 2, 3, 4, 5, 6);6;94;f2;0.0
(1, 2, 3, 4, 5, 6);6;95;f2;0.0
(1, 2, 3, 4, 5, 6);6;96;f2;0.0
(1, 2, 3, 4, 5, 6);6;97;f2;0.0
(1, 2, 3, 4, 5, 6);6;98;f2;0.0
(1, 2, 3, 4, 5, 6);6;99;f2;0.0
(1, 2, 3, 4, 5, 6);6;100;f2;0.0
(1, 2, 3, 4, 5, 6);6;101;f2;0.0
(1, 2, 3, 4, 5, 6);6;102;f2;0.0
(1, 2, 3, 4, 5, 6);6;103;f2;0.0
(1, 2, 3, 4, 5, 6);6;104;f2;0.0
(1, 2, 3, 4, 5, 6);6;105;f2;0.0
(1, 2, 3, 4, 5, 6);6;106;f2;0.0
(1, 2, 3, 4, 5, 6);6;107;f2;0.0
(1, 2, 3, 4, 5, 6);6;108;f2;0.0
(1, 2, 3, 4, 5, 6);6;109;f2;0.0
(1, 2, 3, 4, 5, 6);6;110;f2;0.0
(1, 2, 3, 4, 5, 6);6;111;f2;0.0
