Class combination;Number of classes;mean_good_accuracy;f2;f3;f4;l1;l2;l3;n1;n2;n4;t4;sum_measures
(1, 2, 3);3;0,9359999999999999;0,0;0,633;0,0;0,0032;0,0032;0,0;0,024;0,45899999999999996;0,0304;0,23200000000000004;1,385
(1, 2, 3, 4);4;0,924;0,0;0,674;0,0;0,009999999999999998;0,009000000000000001;0,002;0,0294;0,383;0,037200000000000004;0,23659999999999998;1,381
(1, 2, 3, 4, 5);5;0,93;0,0;0,585;0,0;0,0196;0,0186;0,004200000000000001;0,0226;0,32799999999999996;0,033600000000000005;0,2578;1,269
(1, 2, 3, 5);4;0,95;0,0;0,603;0,0;0,0098;0,0088;0,0014;0,0194;0,389;0,026000000000000002;0,23899999999999996;1,296
(1, 2, 4);3;0,9559999999999998;0,0;0,626;0,0;0,004;0,004;0,0;0,0182;0,458;0,034600000000000006;0,244;1,389
(1, 2, 4, 5);4;0,9639999999999999;0,0;0,57;0,0;0,007000000000000001;0,006;0,0008;0,018;0,387;0,029000000000000005;0,24100000000000002;1,259
(1, 2, 5);3;0,97;0,0;0,591;0,0;0,004;0,004;0,0;0,018600000000000002;0,466;0,0248;0,24359999999999998;1,352
(1, 3, 4);3;0,9480000000000001;0,0;0,693;0,0;0,007200000000000001;0,0066;0,0;0,022;0,45599999999999996;0,04359999999999999;0,2144;1,443
(1, 3, 4, 5);4;0,942;0,0;0,539;0,0;0,012;0,011;0,0021999999999999997;0,0264;0,388;0,04239999999999999;0,25120000000000003;1,272
(1, 3, 5);3;0,97;0,0;0,513;0,0;0,0;0,0;0,0;0,0166;0,4706;0,032600000000000004;0,238;1,271
(1, 4, 5);3;0,99;0,0;0,465;0,0;0,0;0,0;0,0;0,015;0,46719999999999995;0,0324;0,23240000000000002;1,212
(2, 3, 4);3;0,95;0,0;0,637;0,0;0,0068000000000000005;0,0068000000000000005;0,0;0,0374;0,458;0,0316;0,2782;1,456
(2, 3, 4, 5);4;0,9399999999999998;0,0;0,57;0,0;0,014199999999999999;0,013800000000000002;0,003;0,0254;0,388;0,025;0,27020000000000005;1,31
(2, 3, 5);3;0,9719999999999999;0,0;0,596;0,0;0,004;0,004;0,0;0,0162;0,46979999999999994;0,0072;0,23739999999999997;1,335
(2, 4, 5);3;0,9800000000000001;0,0;0,565;0,0;0,0;0,0;0,0;0,017;0,46399999999999997;0,010599999999999998;0,24619999999999997;1,303
(3, 4, 5);3;0,952;0,0;0,504;0,0;0,013000000000000001;0,013000000000000001;0,0016;0,0378;0,46719999999999995;0,0334;0,2516;1,322
