Class combination;Number of classes;mean_good_accuracy;l2;l3;n1;n4;sum_measures
(1, 2, 3);3;0,9359999999999999;0,0032;0,0;0,024;0,0304;0,058
(1, 2, 3, 4);4;0,924;0,009000000000000001;0,002;0,0294;0,037200000000000004;0,078
(1, 2, 3, 4, 5);5;0,93;0,0186;0,004200000000000001;0,0226;0,033600000000000005;0,079
(1, 2, 3, 5);4;0,95;0,0088;0,0014;0,0194;0,026000000000000002;0,056
(1, 2, 4);3;0,9559999999999998;0,004;0,0;0,0182;0,034600000000000006;0,057
(1, 2, 4, 5);4;0,9639999999999999;0,006;0,0008;0,018;0,029000000000000005;0,054
(1, 2, 5);3;0,97;0,004;0,0;0,018600000000000002;0,0248;0,047
(1, 3, 4);3;0,9480000000000001;0,0066;0,0;0,022;0,04359999999999999;0,072
(1, 3, 4, 5);4;0,942;0,011;0,0021999999999999997;0,0264;0,04239999999999999;0,082
(1, 3, 5);3;0,97;0,0;0,0;0,0166;0,032600000000000004;0,049
(1, 4, 5);3;0,99;0,0;0,0;0,015;0,0324;0,047
(2, 3, 4);3;0,95;0,0068000000000000005;0,0;0,0374;0,0316;0,076
(2, 3, 4, 5);4;0,9399999999999998;0,013800000000000002;0,003;0,0254;0,025;0,067
(2, 3, 5);3;0,9719999999999999;0,004;0,0;0,0162;0,0072;0,027
(2, 4, 5);3;0,9800000000000001;0,0;0,0;0,017;0,010599999999999998;0,028
(3, 4, 5);3;0,952;0,013000000000000001;0,0016;0,0378;0,0334;0,086
