Class combination;Number of classes;mean_good_accuracy;l1;min_l1;l2;min_l2;l3;min_l3;n1;min_n1;n2;min_n2;n4;min_n4;sum_measures;mean_measures
(1, 2, 3);3;0,925;0,89;0,005;0,91;0,005;0,953;0,001;0,981;0,039;0,922;0,541;0,938;0,044;0,634;0,106
(1, 2, 3, 4);4;0,913125;0,772;0,012;0,779;0,011;0,822;0,004;0,961;0,04;0,757;0,616;0,915;0,049;0,732;0,122
(1, 2, 3, 4, 5);5;0,921875;0,902;0,021;0,898;0,019;0,916;0,007;0,985;0,029;0,83;0,672;0,918;0,039;0,787;0,131
(1, 2, 3, 5);4;0,9424999999999999;0,931;0,01;0,943;0,009;0,961;0,004;0,993;0,025;0,802;0,611;0,948;0,036;0,695;0,116
(1, 2, 4);3;0,94875;0,815;0,004;0,838;0,004;0,9;0,001;0,943;0,029;0,62;0,541;0,859;0,051;0,63;0,105
(1, 2, 4, 5);4;0,95875;0,92;0,008;0,93;0,007;0,949;0,002;0,978;0,02;0,824;0,612;0,909;0,035;0,685;0,114
(1, 2, 5);3;0,96;0,928;0,007;0,938;0,006;0,936;0,002;0,958;0,021;0,804;0,533;0,888;0,036;0,605;0,101
(1, 3, 4);3;0,930625;0,679;0,011;0,714;0,01;0,757;0,002;0,932;0,047;0,668;0,544;0,832;0,062;0,676;0,113
(1, 3, 4, 5);4;0,9343750000000001;0,932;0,013;0,934;0,013;0,946;0,006;0,977;0,032;0,896;0,611;0,916;0,05;0,725;0,121
(1, 3, 5);3;0,9568749999999999;0,951;0,0;0,956;0,0;0,957;0,0;0,976;0,022;0,847;0,528;0,913;0,041;0,592;0,099
(1, 4, 5);3;0,98;0,955;0,001;0,963;0,001;0,957;0,0;0,967;0,017;0,882;0,532;0,708;0,042;0,592;0,099
(2, 3, 4);3;0,9325;0,946;0,01;0,956;0,01;0,96;0,002;0,838;0,062;0,938;0,542;0,922;0,044;0,669;0,112
(2, 3, 4, 5);4;0,9337500000000001;0,957;0,016;0,961;0,016;0,968;0,005;0,975;0,039;0,93;0,612;0,957;0,035;0,722;0,12
(2, 3, 5);3;0,9675;0,928;0,005;0,945;0,005;0,952;0,0;0,925;0,03;0,833;0,53;0,956;0,016;0,586;0,098
(2, 4, 5);3;0,9737499999999999;0,969;0,001;0,973;0,001;0,977;0,0;0,98;0,021;0,928;0,535;0,96;0,021;0,579;0,096
(3, 4, 5);3;0,9437499999999999;0,919;0,018;0,92;0,018;0,923;0,006;0,959;0,047;0,917;0,532;0,892;0,044;0,666;0,111
