Class combination;Number of classes;mean_good_accuracy;l1;l2;l3;n1;n2;n4;sum_measures;mean_measures
(1, 2, 3);3;0,925;0,005125;0,0050625;0,001;0,0388125;0,5406875;0,0435;0,634;0,106
(1, 2, 3, 4);4;0,913125;0,011875;0,011;0,0035;0,040499999999999994;0,6163125;0,0489375;0,732;0,122
(1, 2, 3, 4, 5);5;0,921875;0,020624999999999998;0,0194375;0,0070625;0,029062499999999998;0,6715625000000001;0,038875;0,787;0,131
(1, 2, 3, 5);4;0,9424999999999999;0,010062499999999999;0,009062500000000001;0,0035;0,025125;0,610625;0,0364375;0,695;0,116
(1, 2, 4);3;0,94875;0,004;0,004;0,000875;0,028874999999999998;0,541375;0,050624999999999996;0,63;0,105
(1, 2, 4, 5);4;0,95875;0,0079375;0,0069375;0,0023750000000000004;0,020499999999999997;0,612375;0,034875;0,685;0,114
(1, 2, 5);3;0,96;0,00675;0,0063124999999999995;0,0015;0,020874999999999998;0,533;0,036125000000000004;0,605;0,101
(1, 3, 4);3;0,930625;0,010624999999999999;0,01;0,0019375;0,047125;0,5436875000000001;0,062375;0,676;0,113
(1, 3, 4, 5);4;0,9343750000000001;0,013375000000000001;0,012875000000000001;0,0055625;0,032;0,6114375;0,0498125;0,725;0,121
(1, 3, 5);3;0,9568749999999999;0,0;0,0;0,0;0,022125;0,5285;0,0411875;0,592;0,099
(1, 4, 5);3;0,98;0,00075;0,00075;0,0;0,016875;0,5318750000000001;0,041874999999999996;0,592;0,099
(2, 3, 4);3;0,9325;0,0098125;0,0096875;0,0018125;0,062125;0,5417500000000001;0,0438125;0,669;0,112
(2, 3, 4, 5);4;0,9337500000000001;0,015625;0,0155;0,0053750000000000004;0,0393125;0,61175;0,0346875;0,722;0,12
(2, 3, 5);3;0,9675;0,004875;0,0052499999999999995;0,0005;0,0301875;0,5295625;0,015625;0,586;0,098
(2, 4, 5);3;0,9737499999999999;0,00075;0,00075;0,000375;0,020562499999999997;0,5351250000000001;0,0209375;0,579;0,096
(3, 4, 5);3;0,9437499999999999;0,017562499999999998;0,0180625;0,0062499999999999995;0,047125;0,5321875;0,0445;0,666;0,111
