Class combination;Number of classes;max_accuracy;clsCoef;density;f1;f2;f3;f4;hubs;l1;l2;l3;lsc;n1;n2;n4;t1;t2;t3;t4
(1, 2, 3);3;0,94;0,856;0,888;-0,976;-0,473;-0,867;-0,845;0,94;-0,89;-0,91;-0,953;-0,564;-0,981;0,922;-0,938;0,448;0,684;0,672;-0,531
(1, 2, 3, 4);4;0,93;0,609;0,538;-0,967;-0,774;-0,924;-0,973;0,551;-0,772;-0,779;-0,822;-0,443;-0,961;0,757;-0,915;0,491;0,584;0,563;-0,896
(1, 2, 3, 4, 5);5;0,93;0,736;0,882;-0,98;-0,661;-0,961;-0,958;0,844;-0,902;-0,898;-0,916;-0,588;-0,985;0,83;-0,918;0,517;0,666;0,652;-0,813
(1, 2, 3, 5);4;0,95;0,782;0,92;-0,954;-0,713;-0,932;-0,961;0,795;-0,931;-0,943;-0,961;-0,552;-0,993;0,802;-0,948;0,451;0,626;0,61;-0,824
(1, 2, 4);3;0,96;0,411;0,441;-0,76;-0,799;-0,879;-0,922;0,452;-0,815;-0,838;-0,9;-0,3;-0,943;0,62;-0,859;0,429;0,547;0,541;-0,872
(1, 2, 4, 5);4;0,97;0,502;0,717;-0,956;-0,746;-0,874;-0,881;0,689;-0,92;-0,93;-0,949;-0,429;-0,978;0,824;-0,909;0,54;0,678;0,657;-0,916
(1, 2, 5);3;0,97;0,461;0,493;-0,898;-0,707;-0,804;-0,874;0,274;-0,928;-0,938;-0,936;-0,526;-0,958;0,804;-0,888;0,605;0,659;0,646;-0,851
(1, 3, 4);3;0,95;0,706;0,771;-0,931;-0,904;-0,933;-0,928;0,715;-0,679;-0,714;-0,757;-0,495;-0,932;0,668;-0,832;0,401;0,491;0,457;-0,906
(1, 3, 4, 5);4;0,95;0,572;0,879;-0,964;-0,707;-0,94;-0,906;0,802;-0,932;-0,934;-0,946;-0,166;-0,977;0,896;-0,916;0,642;0,719;0,706;-0,84
(1, 3, 5);3;0,97;0,631;0,86;-0,947;-0,718;-0,922;-0,895;0,819;-0,951;-0,956;-0,957;-0,08;-0,976;0,847;-0,913;0,563;0,627;0,625;-0,851
(1, 4, 5);3;0,99;0,642;0,773;-0,623;-0,741;-0,859;-0,869;0,703;-0,955;-0,963;-0,957;0,47;-0,967;0,882;-0,708;0,697;0,709;0,689;-0,924
(2, 3, 4);3;0,95;0,807;0,832;-0,665;-0,592;-0,695;-0,765;0,829;-0,946;-0,956;-0,96;0,281;-0,838;0,938;-0,922;0,905;0,826;0,836;-0,788
(2, 3, 4, 5);4;0,94;0,757;0,915;-0,915;-0,608;-0,973;-0,842;0,899;-0,957;-0,961;-0,968;-0,458;-0,975;0,93;-0,957;0,782;0,793;0,791;-0,859
(2, 3, 5);3;0,98;0,723;0,869;-0,894;-0,694;-0,841;-0,959;0,88;-0,928;-0,945;-0,952;-0,73;-0,925;0,833;-0,956;0,482;0,621;0,612;-0,787
(2, 4, 5);3;0,98;0,85;0,937;-0,968;-0,677;-0,987;-0,829;0,943;-0,969;-0,973;-0,977;-0,558;-0,98;0,928;-0,96;0,511;0,723;0,732;-0,836
(3, 4, 5);3;0,96;0,735;0,884;-0,672;-0,692;-0,79;-0,767;0,93;-0,919;-0,92;-0,923;0,278;-0,959;0,917;-0,892;0,725;0,783;0,8;-0,73
