Class combination;Number of classes;mean_good_accuracy;clsCoef;density;f1;f2;f3;f4;hubs;l1;l2;l3;lsc;n1;n2;n4;t1;t2;t3;t4;sum_measures
(1, 2, 3);3;0,8619999999999999;0,6571999999999999;0,050800000000000047;0,739;0,0;0,739;0,0024000000000000002;0,1169;0,009699999999999999;0,0086;0,005900000000000001;0,05820000000000005;0,0933;0,4553;0,09159999999999999;0,1575;-0,8167000000000002;0,7283;0,1514;3,2483999999999997
(1, 2, 3, 4);4;0,827;0,6872;0,04560000000000004;0,571;0,0;0,561;0,0;0,11789999999999998;0,0029000000000000002;0,0026;0,001;0,09979999999999997;0,0631;0,3872;0,07050000000000001;0,3724;-0,5025000000000001;0,7757000000000001;0,14889999999999998;3,4043
(1, 2, 3, 4, 5);5;0,79;0,6822999999999999;0,05880000000000003;0,638;0,0;0,564;0,0006000000000000001;0,16090000000000004;0,0129;0,011899999999999999;0,0041;0,09969999999999998;0,0513;0,32989999999999997;0,0534;0,4526;0,003499999999999981;0,8465;0,15369999999999998;4,124099999999999
(1, 2, 3, 4, 5, 6);6;0,7689999999999999;0,6769000000000001;0,053900000000000024;0,6899999999999998;0,0;0,5600000000000002;0,0012000000000000001;0,15620000000000003;0,004200000000000001;0,0038;0,002;0,08939999999999997;0,0479;0,2841;0,0522;0,3941;-0,004000000000000026;0,8257999999999999;0,1725;4,0102
(1, 2, 3, 4, 6);5;0,8110000000000002;0,6794;0,04860000000000003;0,657;0,0;0,58;0,0006000000000000001;0,14140000000000003;0,004200000000000001;0,0039000000000000007;0,0012000000000000001;0,09659999999999998;0,05449999999999999;0,3287;0,05820000000000001;0,3888;-0,11599999999999999;0,8190000000000002;0,1609;3,907
(1, 2, 3, 5);4;0,8640000000000001;0,6960999999999999;0,05560000000000005;0,6950000000000001;0,0;0,692;0,0;0,15040000000000003;0,0081;0,0076;0,0029000000000000002;0,07179999999999995;0,0773;0,38449999999999995;0,0779;0,24180000000000001;-0,49870000000000003;0,7457999999999999;0,1696;3,5777
(1, 2, 3, 5, 6);5;0,837;0,6649999999999999;0,05320000000000004;0,721;0,0;0,6444000000000001;0,0006000000000000001;0,15410000000000001;0,0060999999999999995;0,0057;0,0023;0,06479999999999995;0,06420000000000001;0,3268999999999999;0,07110000000000001;0,261;-0,2285;0,776;0,18209999999999998;3,7700000000000005
(1, 2, 3, 6);4;0,868;0,656;0,04560000000000004;0,7620000000000001;0,0;0,7052999999999999;0,0010999999999999998;0,13600000000000004;0,0027;0,0025;0,0007;0,05750000000000005;0,07919999999999999;0,3823;0,0827;0,19940000000000002;-0,5776;0,7363;0,1669;3,4386
(1, 2, 4);3;0,9259999999999999;0,6908999999999998;0,06719999999999997;0,433;0,0;0,55;0,0;0,16750000000000004;0,0048000000000000004;0,0045;0,0016999999999999997;0,1348;0,0452;0,4787;0,046;0,5215000000000001;-0,09580000000000001;0,8693;0,11880000000000002;4,0381
(1, 2, 4, 5);4;0,865;0,6909;0,05600000000000005;0,49800000000000005;0,0;0,5410000000000001;0,0;0,15490000000000004;0,001;0,001;0,0;0,10589999999999997;0,054200000000000005;0,39;0,05950000000000001;0,41800000000000004;-0,49000000000000005;0,7738;0,15189999999999998;3,4061000000000003
(1, 2, 4, 5, 6);5;0,8400000000000001;0,6825;0,06220000000000002;0,6100000000000001;0,0;0,535;0,0012000000000000001;0,1735;0,0033;0,0033;0,0005;0,09759999999999998;0,0464;0,33039999999999997;0,0504;0,3963;-0,11800000000000002;0,819;0,1606;3,8542
(1, 2, 4, 6);4;0,901;0,6939;0,05630000000000003;0,571;0,0;0,5780000000000001;0,0;0,1519;0,0015;0,0014000000000000002;0,0002;0,10899999999999999;0,051000000000000004;0,3891;0,0475;0,3858;-0,4431000000000001;0,787;0,1464;3,5268999999999995
(1, 2, 5);3;0,9399999999999998;0,6647000000000001;0,05580000000000005;0,5679999999999998;0,0;0,6530000000000001;0,0;0,1428;0,0;0,0;0,0;0,08009999999999996;0,0798;0,4614999999999999;0,0872;0,21189999999999998;-1,1642;0,6708999999999999;0,1523;2,6637999999999997
(1, 2, 5, 6);4;0,917;0,6689;0,05190000000000004;0,6180000000000001;0,0;0,6159999999999999;0,0;0,16200000000000006;0,00030000000000000003;0,00030000000000000003;0,0;0,06699999999999995;0,0685;0,386;0,0723;0,2141;-0,5763;0,7304999999999999;0,1708;3,2503
(1, 2, 6);3;0,9600000000000002;0,6738000000000001;0,052600000000000036;0,6370000000000001;0,0;0,7110000000000001;0,0;0,12890000000000001;0,0;0,0;0,0;0,06040000000000005;0,0783;0,45780000000000004;0,08019999999999998;0,17759999999999998;-0,9141;0,7083;0,15239999999999998;3,0042000000000004
(1, 3, 4);3;0,922;0,7029;0,09969999999999998;0,45499999999999996;0,0;0,503;0,007200000000000001;0,2186;0,0062;0,0062;0,0021;0,1347;0,03200000000000001;0,4798;0,0279;0,5446;0,12080000000000002;0,8942;0,1189;4,3538
(1, 3, 4, 5);4;0,8630000000000001;0,6756999999999999;0,08749999999999997;0,561;0,0;0,556;0,0;0,21719999999999998;0,020200000000000003;0,019200000000000002;0,007400000000000001;0,10099999999999998;0,0462;0,3936;0,045799999999999993;0,48790000000000006;0,11369999999999998;0,8788;0,13470000000000001;4,345899999999999
(1, 3, 4, 5, 6);5;0,843;0,6753;0,07189999999999996;0,612;0,0;0,532;0,0;0,1937;0,0077;0,0073999999999999995;0,0027;0,09449999999999997;0,0387;0,33099999999999996;0,046599999999999996;0,4431;0,089;0,8640000000000001;0,1484;4,1579999999999995
(1, 3, 4, 6);4;0,865;0,6924999999999999;0,08450000000000002;0,5426;0,0;0,5343;0,0;0,19590000000000002;0,013300000000000001;0,0127;0,0063;0,1122;0,039799999999999995;0,3931;0,04379999999999999;0,4284;-0,13690000000000002;0,8333999999999999;0,14379999999999998;3,9396999999999998
(1, 3, 5);3;0,9499999999999998;0,7263;0,09409999999999998;0,6129999999999999;0,0;0,728;0,004399999999999999;0,21069999999999997;0,0156;0,014499999999999999;0,0046;0,07999999999999996;0,0617;0,46209999999999996;0,07260000000000001;0,30629999999999996;-0,4551;0,7683;0,15940000000000001;3,8665
(1, 3, 5, 6);4;0,9200000000000002;0,6877000000000001;0,060900000000000024;0,611;0,0;0,639;0,0;0,16340000000000005;0,0028;0,0027;0,0008;0,06679999999999994;0,059699999999999996;0,3863;0,060899999999999996;0,26749999999999996;-0,4061;0,7567999999999999;0,17279999999999998;3,533
(1, 3, 6);3;0,9600000000000002;0,6036999999999999;0,04310000000000004;0,615;0,0;0,6823;0,0;0,11539999999999999;0,00030000000000000003;0,00030000000000000003;0,0;0,06809999999999995;0,058699999999999995;0,4572;0,07339999999999999;0,16910000000000003;-1,2367000000000001;0,6609;0,1514;2,4621999999999997
(1, 4, 5);3;0,8640000000000001;0,7266;0,07399999999999995;0,378;0,0;0,492;0,0;0,17540000000000003;0,00030000000000000003;0,00030000000000000003;0,0;0,09169999999999998;0,0621;0,4678;0,046400000000000004;0,3341;-1,1157;0,7123999999999999;0,13600000000000004;2,5814000000000004
(1, 4, 5, 6);4;0,86;0,6914;0,07849999999999996;0,48299999999999993;0,0;0,495;0,0;0,19980000000000003;0,0036999999999999997;0,0036999999999999997;0,0011;0,09299999999999997;0,0501;0,3917;0,045099999999999994;0,3543;-0,3537;0,7999999999999999;0,14689999999999998;3,4835999999999996
(1, 4, 6);3;0,913;0,6980000000000001;0,06779999999999997;0,37699999999999995;0,0;0,5065000000000001;0,0;0,16440000000000002;0,00030000000000000003;0,00030000000000000003;0,0;0,1136;0,052500000000000005;0,4692;0,0347;0,32860000000000006;-1,1141;0,7167000000000001;0,13320000000000004;2,5486999999999997
(1, 5, 6);3;0,9359999999999999;0,73;0,17980000000000002;0,5539000000000001;0,0;0,5751999999999999;0,0047;0,3073;0,07989999999999998;0,08349999999999999;0,0607;0,0709;0,10200000000000001;0,4852;0,10300000000000001;0,26920000000000005;0,18519999999999998;0,8690999999999999;0,1656;4,8252
