Class combination;Number of classes;mean_good_accuracy;clsCoef;density;f1;f2;f3;f4;hubs;l1;l2;l3;lsc;n1;n2;n4;t1;t2;t3;t4;sum_measures;mean_measures
(1, 2, 3);3;0,838125;0,5573680079061738;0,8254834081446154;0,4980568400356329;0,6173120145827352;0,8693098853554849;0,6310978509264593;0,7971033175554273;0,8668037035154824;0,8676452403964322;0,844491048172029;0,869049645549567;0,818628945503674;0,8343159757800986;0,6847114865866896;0,6616327328883406;0,6972443629690233;0,7159313282289533;0,8105015325399554;9,319;0,518
(1, 2, 3, 4);4;0,800625;0,8858996490565687;0,9043219440299974;0,8876691302414429;0,39322553471665067;0,9242046432354453;0,7457041964941443;0,85249407546359;0,9626096813654533;0,9641042027587136;0,9671018208802091;0,37181761829427173;0,8775620819357096;0,9360753596568286;0,8884013521411962;0,5649082359568325;0,6861725770177004;0,6527092772609393;0,47786285248253324;7,94;0,441
(1, 2, 3, 4, 5);5;0,758125;0,852715047165008;0,9158632298142668;0,9159652797211597;0,4415309461225986;0,909039005998191;0,8006288860718018;0,8824189906335854;0,9239714173292825;0,9134136207269021;0,9316909857288062;0,36610676111293;0,9163386324284506;0,9349416812640888;0,9128730640004838;0,5632380551260323;0,7046716425341876;0,6347791619935464;0,3986588331252667;7,626;0,424
(1, 2, 3, 4, 5, 6);6;0,7453125;0,8937120175813298;0,9506695360309114;0,8893249935209347;0,36892573339289253;0,8844217432955507;0,759834372355138;0,9331686671680901;0,9496742563921338;0,933119447972027;0,9543531863604291;0,3826888212440491;0,9642766157345762;0,9445597439310263;0,9215820871654424;0,6089141907063353;0,7468367258823986;0,6728754384450555;0,33655146212720305;7,449;0,414
(1, 2, 3, 4, 6);5;0,7909375000000001;0,9065094185637043;0,9459979130502107;0,8249223888931332;0,3415717316469898;0,9474286819340726;0,7238981607181487;0,9188592804748029;0,9667582526171903;0,962101648993199;0,9777411340292943;0,3819450025519546;0,9427088537387729;0,9540309394904399;0,9168691089723771;0,6236822198061783;0,7323391997113382;0,6839321591270964;0,3984945997841473;7,69;0,427
(1, 2, 3, 5);4;0,8415625;0,3534834101601965;0,6940526920682405;0,7933194280837662;0,7692459076522854;0,8745592221374802;0,7867395373743663;0,7204752801096729;0,874126630693242;0,8754695438215883;0,8749040260559063;0,043960887527660614;0,8009722822588379;0,8329812951279452;0,8523028059674671;0,7089307473976232;0,7461885523978896;0,7256319127913209;0,6439150809193627;8,451;0,469
(1, 2, 3, 5, 6);5;0,816875;0,7605650864329052;0,824660983869395;0,9336137369109924;0,6528610667677507;0,9309929091033465;0,7452209309843544;0,8302160694238566;0,9214183353703179;0,9167505079020188;0,9398778708394505;0,6677675127946083;0,9175685696886774;0,8730842519343679;0,9113440038188488;0,730401286502046;0,7530329464804205;0,705357657947266;0,5944465125681979;8,065;0,448
(1, 2, 3, 6);4;0,8521875;0,2927424647039762;0,8438454482588731;0,7929322325104331;0,5784411986824578;0,8818624400079625;0,6851610959517948;0,7956535687043806;0,9368358001120569;0,9376808551094277;0,9444940364078909;0,5815843217205467;0,9119998922322262;0,9064201349676255;0,8321909590471165;0,608993420962275;0,7173577118478143;0,6784408556031553;0,8000395658332795;8,642;0,48
(1, 2, 4);3;0,900625;0,829265360989201;0,9026929909129315;0,6615008521807133;0,42917129129333736;0,546055529079063;0,7593637452593551;0,8378120784203892;0,9452315905618286;0,9451307107075632;0,9183205213720066;0,30545832842856896;0,8931501293453779;0,878178790041242;0,7980686522395476;0,5068657426077784;0,57540527406925;0,5435625419889184;0,6015953991649583;8,197;0,455
(1, 2, 4, 5);4;0,8365625;0,8336051690925468;0,9218566855803716;0,860867404708491;0,4462417152044834;0,9379252029198827;0,799655884646112;0,8850548181850192;0,9241709182720812;0,9211954108899076;0,929009234977062;0,3479876950811535;0,8286797027366335;0,9082923715982171;0,8069016298467548;0,585284480915145;0,6914380465361644;0,6352839761907556;0,4598444505979323;7,727;0,429
(1, 2, 4, 5, 6);5;0,8156249999999999;0,8920660067324048;0,9112691397818101;0,9026565227678197;0,4086809199979769;0,9282657468792244;0,7823937531403852;0,8687251724123004;0,9461350775185732;0,9399515650783375;0,9521848468651348;0,40589052349426263;0,9478654442112281;0,897118751520341;0,9197024604753804;0,6225017073018461;0,6869648112139703;0,6168856561821138;0,4493485102112008;7,526;0,418
(1, 2, 4, 6);4;0,8831249999999999;0,9205953351093029;0,9109661654134653;0,8845195235968341;0,3584380215828806;0,9492857741819193;0,7158523987101968;0,8522583207883193;0,9625148946123896;0,9606589365484782;0,9601591417352932;0,3824656201779751;0,9396817830217777;0,9190457897461715;0,9178604095682157;0,5889523147472917;0,6730984471578663;0,6211597981746514;0,4916246040151476;7,894;0,439
(1, 2, 5);3;0,9265625000000001;0,7057317066188074;0,7534191502275782;0,8056470983038109;0,6211284970384862;0,8365793970846452;0,7879907730124652;0,7663952343338291;0,895863232958;0,8984887313170901;0,8820765795659318;0,5469515561641384;0,7739135612362799;0,8046777360775955;0,7760447476731591;0,6735881657960735;0,7242603896592444;0,7123782303571857;0,6354445059154543;8,93;0,496
(1, 2, 5, 6);4;0,903125;0,7250326518510958;0,7670680500278665;0,851432005844071;0,7028646755085891;0,8124548157449003;0,8049207121160336;0,7582269243336037;0,8796039347060336;0,8816342350223892;0,8813401304127327;0,6922322184953881;0,8448684793802823;0,7924658972752432;0,8608244590766838;0,6173885264871516;0,6656220322284256;0,6239365118479163;0,5693213351774463;8,365;0,465
(1, 2, 6);3;0,9465625;0,4992504842985086;0,7901322721741411;0,6202577278361359;0,6255592505533479;0,9094160265401112;0,7735169631856413;0,69871028197928;0,9337976765351612;0,9467054148403498;0,9595245374719346;0,5445292737998181;0,8947344124191956;0,8566665539076453;0,8020871528044167;0,6538191992095607;0,602626000501212;0,5808996878782935;0,788352682107306;9,203;0,511
(1, 3, 4);3;0,8825000000000001;0,7733220563426543;0,7924559165300261;0,738098865844491;0,41645355865486966;0,8734333530195914;0,6938141981961596;0,709185739010284;0,8934816411150329;0,8902063470281634;0,8647040532286946;0,1855433256875305;0,8899770375154866;0,8102848176852078;0,8698575054502261;0,3156339849949438;0,4468241179150067;0,42163691001018655;0,5429143148346787;8,258;0,459
(1, 3, 4, 5);4;0,8281249999999999;0,8902242966937276;0,8367567788879118;0,8445037836702014;0,4356313736369675;0,9065322223258894;0,8023923404558652;0,7741168793202166;0,8814171594404383;0,8841523200058421;0,9241981896020277;0,3838864157030722;0,9221860716747147;0,8613736347530323;0,8924902812784772;0,3937577054500417;0,5325463126913348;0,4698938715600884;0,5029850879264638;7,853;0,436
