Class combination;Number of classes;mean_good_accuracy;l1;l2;l3;n1;n2;n4;sum_measures;mean_measures
(1, 2, 3);3;0,838125;0,0;0,0;0,0;0,09584375;0,547;0,09534375;0,738;0,123
(1, 2, 3, 4);4;0,800625;0,0;0,0;0,0;0,0625;0,61465625;0,06421875;0,741;0,124
(1, 2, 3, 4, 5);5;0,758125;0,0;0,0;0,0;0,056906250000000005;0,6725937500000001;0,056749999999999995;0,786;0,131
(1, 2, 3, 4, 5, 6);6;0,7453125;0,0;0,0;0,0;0,05053125;0,717;0,04996874999999999;0,818;0,136
(1, 2, 3, 4, 6);5;0,7909375000000001;0,0;0,0;0,0;0,05746875;0,673;0,0568125;0,787;0,131
(1, 2, 3, 5);4;0,8415625;0,0;0,0;0,0;0,07990625;0,617;0,07962500000000002;0,777;0,129
(1, 2, 3, 5, 6);5;0,816875;0,000125;0,000125;0,0;0,068;0,6741250000000001;0,06775;0,81;0,135
(1, 2, 3, 6);4;0,8521875;0,0;0,0;0,0;0,08271875000000001;0,61853125;0,07925000000000001;0,78;0,13
(1, 2, 4);3;0,900625;0,0;0,0;0,0;0,054781250000000004;0,53525;0,04771875;0,638;0,106
(1, 2, 4, 5);4;0,8365625;0,0;0,0;0,0;0,05534375;0,61240625;0,054781250000000004;0,723;0,12
(1, 2, 4, 5, 6);5;0,8156249999999999;0,0;0,0;0,0;0,051468749999999994;0,6718125;0,045281249999999995;0,769;0,128
(1, 2, 4, 6);4;0,8831249999999999;0,0;0,0;0,0;0,055906250000000005;0,61328125;0,0516875;0,721;0,12
(1, 2, 5);3;0,9265625000000001;0,0;0,0;0,0;0,08065624999999998;0,5406249999999999;0,0796875;0,701;0,117
(1, 2, 5, 6);4;0,903125;0,0;0,0;0,0;0,0716875;0,6156250000000001;0,06971875000000001;0,757;0,126
(1, 2, 6);3;0,9465625;0,0;0,0;0,0;0,08587499999999999;0,54475;0,08228125;0,713;0,119
(1, 3, 4);3;0,8825000000000001;0,0;0,0;0,0;0,03590625;0,53728125;0,037562500000000006;0,611;0,102
(1, 3, 4, 5);4;0,8281249999999999;0,0;0,0;0,0;0,0485625;0,6136874999999999;0,05040624999999999;0,713;0,119
(1, 3, 4, 5, 6);5;0,8078125;0,0;0,0;0,0;0,04625;0,6720312500000001;0,04478125;0,763;0,127
(1, 3, 4, 6);4;0,8453124999999999;0,0;0,0;0,0;0,0453125;0,6136249999999999;0,045062500000000005;0,704;0,117
(1, 3, 5);3;0,943125;0,0;0,0;0,0;0,06753125;0,5434062500000001;0,07271875;0,684;0,114
(1, 3, 5, 6);4;0,906875;0,0;0,0;0,0;0,0624375;0,61609375;0,05990625;0,738;0,123
(1, 3, 6);3;0,9524999999999999;0,0;0,0;0,0;0,06396874999999999;0,544;0,0718125;0,68;0,113
(1, 4, 5);3;0,84875;0,0;0,0;0,0;0,06778125;0,53528125;0,04971875;0,653;0,109
(1, 4, 5, 6);4;0,8390625;0,0;0,0;0,0;0,06025;0,61209375;0,046375;0,719;0,12
(1, 4, 6);3;0,9021875;0,0;0,0;0,0;0,059781249999999994;0,5343125;0,03946875;0,634;0,106
(1, 5, 6);3;0,9225000000000001;0,0;0,0;0,0;0,0909375;0,540375;0,07200000000000001;0,703;0,117
(2, 3, 4);3;0,77;0,0;0,0;0,0;0,0780625;0,5381875;0,062000000000000006;0,678;0,113
(2, 3, 4, 5);4;0,7153125;0,0;0,0;0,0;0,05765625;0,613;0,05;0,721;0,12
(2, 3, 4, 5, 6);5;0,7165625;0,0;0,0;0,0;0,047375;0,672;0,044875;0,764;0,127
(2, 3, 4, 6);4;0,744375;0,0;0,0;0,0;0,05890624999999999;0,61403125;0,0546875;0,728;0,121
(2, 3, 5);3;0,809375;0,0;0,0;0,0;0,08378125;0,540875;0,0746875;0,699;0,117
(2, 3, 5, 6);4;0,7875000000000001;0,0;0,0;0,0;0,0663125;0,6155312500000001;0,06184375;0,744;0,124
(2, 3, 6);3;0,8043750000000001;0,0;0,0;0,0;0,09440625;0,5455625000000001;0,08381250000000001;0,724;0,121
(2, 4, 5);3;0,8143750000000001;0,0;0,0;0,0;0,033;0,53215625;0,0314375;0,597;0,099
(2, 4, 5, 6);4;0,8053125000000001;0,0;0,0;0,0;0,037343749999999995;0,6113124999999999;0,0323125;0,681;0,113
(2, 4, 6);3;0,8565625;0,0;0,0;0,0;0,0438125;0,53471875;0,032468750000000005;0,611;0,102
(2, 5, 6);3;0,8887499999999999;0,0;0,0;0,0;0,054625;0,53721875;0,04353125000000001;0,635;0,106
(3, 4, 5);3;0,816875;0,0;0,0;0,0;0,036;0,53525;0,0338125;0,605;0,101
(3, 4, 5, 6);4;0,8018750000000001;0,0;0,0;0,0;0,036437500000000005;0,61190625;0,031625;0,68;0,113
(3, 4, 6);3;0,8090625;0,0;0,0;0,0;0,036;0,53509375;0,031593750000000004;0,603;0,1
(3, 5, 6);3;0,89875;0,0;0,0;0,0;0,052343749999999994;0,5382187500000001;0,043625;0,634;0,106
(4, 5, 6);3;0,8187500000000001;0,0;0,0;0,0;0,03946875;0,5312187500000001;0,024656249999999998;0,595;0,099
