Class combination;Number of classes;mean_good_accuracy;clsCoef;density;f1;f2;f3;f4;hubs;l1;l2;l3;lsc;n1;n2;n4;t1;t2;t3;t4
(1, 2, 3);3;0,8619999999999999;0,557368007906174;0,8254834081446154;0,4980568400356329;0,6173120145827352;0,8693098853554849;0,6310978509264593;0,7971033175554277;0,8668037035154824;0,8676452403964322;0,844491048172029;0,8690496455495673;0,818628945503674;0,8343159757800986;0,6847114865866896;0,6616327328883405;0,6972443629690233;0,7159313282289536;0,8105015325399554
(1, 2, 3, 4);4;0,827;0,8858996490565687;0,9043219440299979;0,8876691302414429;0,39322553471665067;0,9242046432354453;0,7457041964941443;0,8524940754635901;0,9626096813654533;0,9641042027587136;0,9671018208802091;0,3718176182942718;0,8775620819357096;0,9360753596568286;0,8884013521411962;0,5649082359568325;0,6861725770177005;0,6527092772609393;0,47786285248253324
(1, 2, 3, 4, 5);5;0,79;0,8527150471650081;0,915863229814267;0,9159652797211597;0,4415309461225986;0,909039005998191;0,8006288860718018;0,8824189906335854;0,9239714173292825;0,9134136207269021;0,9316909857288062;0,36610676111293045;0,9163386324284506;0,9349416812640885;0,9128730640004838;0,5632380551260323;0,7046716425341876;0,6347791619935466;0,3986588331252667
(1, 2, 3, 4, 5, 6);6;0,7689999999999999;0,8937120175813296;0,9506695360309114;0,8893249935209347;0,36892573339289253;0,8844217432955507;0,759834372355138;0,9331686671680903;0,9496742563921338;0,933119447972027;0,9543531863604291;0,38268882124404907;0,9642766157345762;0,9445597439310263;0,9215820871654424;0,6089141907063353;0,7468367258823986;0,6728754384450558;0,33655146212720305
(1, 2, 3, 4, 6);5;0,8110000000000002;0,9065094185637046;0,9459979130502107;0,8249223888931332;0,3415717316469898;0,9474286819340726;0,7238981607181487;0,9188592804748031;0,9667582526171903;0,962101648993199;0,9777411340292943;0,38194500255195474;0,9427088537387729;0,9540309394904399;0,9168691089723771;0,6236822198061783;0,7323391997113382;0,6839321591270965;0,3984945997841473
(1, 2, 3, 5);4;0,8640000000000001;0,35348341016019685;0,6940526920682409;0,7933194280837662;0,7692459076522854;0,8745592221374802;0,7867395373743663;0,7204752801096728;0,874126630693242;0,8754695438215883;0,8749040260559063;0,043960887527661;0,8009722822588379;0,8329812951279452;0,8523028059674671;0,7089307473976232;0,7461885523978896;0,7256319127913211;0,6439150809193627
(1, 2, 3, 5, 6);5;0,837;0,7605650864329054;0,824660983869395;0,9336137369109924;0,6528610667677507;0,9309929091033465;0,7452209309843544;0,8302160694238568;0,9214183353703179;0,9167505079020188;0,9398778708394505;0,6677675127946083;0,9175685696886774;0,8730842519343675;0,9113440038188488;0,7304012865020459;0,7530329464804206;0,7053576579472658;0,5944465125681979
(1, 2, 3, 6);4;0,868;0,29274246470397614;0,8438454482588728;0,7929322325104331;0,5784411986824578;0,8818624400079625;0,6851610959517948;0,7956535687043805;0,9368358001120569;0,9376808551094277;0,9444940364078909;0,5815843217205466;0,9119998922322262;0,9064201349676256;0,8321909590471165;0,608993420962275;0,7173577118478143;0,6784408556031551;0,8000395658332795
(1, 2, 4);3;0,9259999999999999;0,8292653609892009;0,9026929909129314;0,6615008521807133;0,42917129129333736;0,546055529079063;0,7593637452593551;0,8378120784203892;0,9452315905618286;0,9451307107075632;0,9183205213720066;0,3054583284285687;0,8931501293453779;0,8781787900412422;0,7980686522395476;0,5068657426077782;0,5754052740692499;0,5435625419889183;0,6015953991649583
(1, 2, 4, 5);4;0,865;0,8336051690925469;0,9218566855803718;0,860867404708491;0,4462417152044834;0,9379252029198827;0,799655884646112;0,8850548181850194;0,9241709182720812;0,9211954108899076;0,929009234977062;0,3479876950811536;0,8286797027366335;0,9082923715982167;0,8069016298467548;0,585284480915145;0,6914380465361644;0,6352839761907563;0,4598444505979323
