Class combination;Number of classes;mean_good_accuracy;f3;l1;l2;l3;n1;n4;sum_measures
(1, 2, 3);3;0,8400000000000001;0,736;0,0;0,0;0,0;0,069;0,0536;0,859
(1, 2, 3, 4);4;0,8459999999999999;0,594;0,0;0,0;0,0;0,04359999999999999;0,041999999999999996;0,68
(1, 2, 3, 4, 5);5;0,82;0,58;0,0;0,0;0,0;0,04259999999999999;0,036000000000000004;0,659
(1, 2, 3, 4, 5, 6);6;0,8;0,53;0,0006000000000000001;0,0006000000000000001;0,0;0,038;0,034800000000000005;0,604
(1, 2, 3, 4, 6);5;0,8299999999999998;0,519;0,0;0,0;0,0;0,039400000000000004;0,035800000000000005;0,594
(1, 2, 3, 5);4;0,8299999999999998;0,703;0,0;0,0;0,0;0,05600000000000001;0,0464;0,805
(1, 2, 3, 5, 6);5;0,8100000000000002;0,603;0,001;0,001;0,0;0,046799999999999994;0,0402;0,692
(1, 2, 3, 6);4;0,8299999999999998;0,603;0,0;0,0;0,0;0,0538;0,045599999999999995;0,702
(1, 2, 4);3;0,8699999999999999;0,576;0,0;0,0;0,0;0,053000000000000005;0,045;0,674
(1, 2, 4, 5);4;0,86;0,573;0,0;0,0;0,0;0,0412;0,038200000000000005;0,652
(1, 2, 4, 5, 6);5;0,8100000000000002;0,527;0,0008;0,0008;0,0;0,040400000000000005;0,034600000000000006;0,604
(1, 2, 4, 6);4;0,8400000000000001;0,524;0,0;0,0;0,0;0,045;0,0352;0,604
(1, 2, 5);3;0,86;0,701;0,0;0,0;0,0;0,0508;0,047599999999999996;0,799
(1, 2, 5, 6);4;0,836;0,603;0,001;0,001;0,0;0,05;0,0396;0,695
(1, 2, 6);3;0,85;0,603;0,0;0,0;0,0;0,056600000000000004;0,0464;0,706
(1, 3, 4);3;0,9099999999999999;0,548;0,0;0,0;0,0;0,031;0,0232;0,602
(1, 3, 4, 5);4;0,89;0,559;0,0;0,0;0,0;0,0312;0,0268;0,617
(1, 3, 4, 5, 6);5;0,8400000000000001;0,526;0,0;0,0;0,0;0,0374;0,0256;0,589
(1, 3, 4, 6);4;0,8699999999999999;0,504;0,0;0,0;0,0;0,038;0,026000000000000002;0,568
(1, 3, 5);3;0,9200000000000002;0,688;0,0;0,0;0,0;0,046599999999999996;0,027200000000000002;0,762
(1, 3, 5, 6);4;0,86;0,584;0,0;0,0;0,0;0,046799999999999994;0,0316;0,662
(1, 3, 6);3;0,9099999999999999;0,56;0,0;0,0;0,0;0,046;0,026000000000000002;0,632
(1, 4, 5);3;0,9359999999999999;0,616;0,0;0,0;0,0;0,022;0,0126;0,651
(1, 4, 5, 6);4;0,8800000000000001;0,563;0,0;0,0;0,0;0,0372;0,022799999999999997;0,623
(1, 4, 6);3;0,9099999999999999;0,584;0,0;0,0;0,0;0,0328;0,0156;0,632
(1, 5, 6);3;0,9;0,636;0,0;0,0;0,0;0,0452;0,0268;0,708
(2, 3, 4);3;0,9099999999999999;0,581;0,0;0,0;0,0;0,0402;0,029599999999999998;0,651
(2, 3, 4, 5);4;0,8699999999999999;0,572;0,0;0,0;0,0;0,04;0,029400000000000003;0,641
(2, 3, 4, 5, 6);5;0,8299999999999998;0,514;0,0;0,0;0,0;0,0368;0,0316;0,582
(2, 3, 4, 6);4;0,8800000000000001;0,5;0,0;0,0;0,0;0,037;0,024799999999999996;0,562
(2, 3, 5);3;0,9;0,727;0,0;0,0;0,0;0,065;0,045799999999999993;0,838
(2, 3, 5, 6);4;0,858;0,6;0,0;0,0;0,0;0,0508;0,039400000000000004;0,69
(2, 3, 6);3;0,9280000000000002;0,599;0,0;0,0;0,0;0,0496;0,0362;0,685
(2, 4, 5);3;0,9200000000000002;0,544;0,0;0,0;0,0;0,0342;0,0186;0,597
(2, 4, 5, 6);4;0,86;0,506;0,0;0,0;0,0;0,04;0,026600000000000002;0,573
(2, 4, 6);3;0,9;0,48200000000000004;0,0;0,0;0,0;0,034800000000000005;0,015;0,532
(2, 5, 6);3;0,89;0,597;0,0;0,0;0,0;0,043;0,0252;0,665
(3, 4, 5);3;0,9099999999999999;0,553;0,0;0,0;0,0;0,0314;0,0198;0,604
(3, 4, 5, 6);4;0,8699999999999999;0,52;0,0;0,0;0,0;0,038;0,026000000000000002;0,584
(3, 4, 6);3;0,9200000000000002;0,499;0,0;0,0;0,0;0,032600000000000004;0,012199999999999999;0,544
(3, 5, 6);3;0,89;0,595;0,0;0,0;0,0;0,04139999999999999;0,0284;0,665
(4, 5, 6);3;0,8699999999999999;0,594;0,0;0,0;0,0;0,047799999999999995;0,0268;0,669
