Class combination;Number of classes;mean_good_accuracy;l2;l3;n1;n4;sum_measures
(1, 2, 3);3;0,8400000000000001;0,0;0,0;0,069;0,0536;0,123
(1, 2, 3, 4);4;0,8459999999999999;0,0;0,0;0,04359999999999999;0,041999999999999996;0,086
(1, 2, 3, 4, 5);5;0,82;0,0;0,0;0,04259999999999999;0,036000000000000004;0,079
(1, 2, 3, 4, 5, 6);6;0,8;0,0006000000000000001;0,0;0,038;0,034800000000000005;0,073
(1, 2, 3, 4, 6);5;0,8299999999999998;0,0;0,0;0,039400000000000004;0,035800000000000005;0,075
(1, 2, 3, 5);4;0,8299999999999998;0,0;0,0;0,05600000000000001;0,0464;0,102
(1, 2, 3, 5, 6);5;0,8100000000000002;0,001;0,0;0,046799999999999994;0,0402;0,088
(1, 2, 3, 6);4;0,8299999999999998;0,0;0,0;0,0538;0,045599999999999995;0,099
(1, 2, 4);3;0,8699999999999999;0,0;0,0;0,053000000000000005;0,045;0,098
(1, 2, 4, 5);4;0,86;0,0;0,0;0,0412;0,038200000000000005;0,079
(1, 2, 4, 5, 6);5;0,8100000000000002;0,0008;0,0;0,040400000000000005;0,034600000000000006;0,076
(1, 2, 4, 6);4;0,8400000000000001;0,0;0,0;0,045;0,0352;0,08
(1, 2, 5);3;0,86;0,0;0,0;0,0508;0,047599999999999996;0,098
(1, 2, 5, 6);4;0,836;0,001;0,0;0,05;0,0396;0,091
(1, 2, 6);3;0,85;0,0;0,0;0,056600000000000004;0,0464;0,103
(1, 3, 4);3;0,9099999999999999;0,0;0,0;0,031;0,0232;0,054
(1, 3, 4, 5);4;0,89;0,0;0,0;0,0312;0,0268;0,058
(1, 3, 4, 5, 6);5;0,8400000000000001;0,0;0,0;0,0374;0,0256;0,063
(1, 3, 4, 6);4;0,8699999999999999;0,0;0,0;0,038;0,026000000000000002;0,064
(1, 3, 5);3;0,9200000000000002;0,0;0,0;0,046599999999999996;0,027200000000000002;0,074
(1, 3, 5, 6);4;0,86;0,0;0,0;0,046799999999999994;0,0316;0,078
(1, 3, 6);3;0,9099999999999999;0,0;0,0;0,046;0,026000000000000002;0,072
(1, 4, 5);3;0,9359999999999999;0,0;0,0;0,022;0,0126;0,035
(1, 4, 5, 6);4;0,8800000000000001;0,0;0,0;0,0372;0,022799999999999997;0,06
(1, 4, 6);3;0,9099999999999999;0,0;0,0;0,0328;0,0156;0,048
(1, 5, 6);3;0,9;0,0;0,0;0,0452;0,0268;0,072
(2, 3, 4);3;0,9099999999999999;0,0;0,0;0,0402;0,029599999999999998;0,07
(2, 3, 4, 5);4;0,8699999999999999;0,0;0,0;0,04;0,029400000000000003;0,069
(2, 3, 4, 5, 6);5;0,8299999999999998;0,0;0,0;0,0368;0,0316;0,068
(2, 3, 4, 6);4;0,8800000000000001;0,0;0,0;0,037;0,024799999999999996;0,062
(2, 3, 5);3;0,9;0,0;0,0;0,065;0,045799999999999993;0,111
(2, 3, 5, 6);4;0,858;0,0;0,0;0,0508;0,039400000000000004;0,09
(2, 3, 6);3;0,9280000000000002;0,0;0,0;0,0496;0,0362;0,086
(2, 4, 5);3;0,9200000000000002;0,0;0,0;0,0342;0,0186;0,053
(2, 4, 5, 6);4;0,86;0,0;0,0;0,04;0,026600000000000002;0,067
(2, 4, 6);3;0,9;0,0;0,0;0,034800000000000005;0,015;0,05
(2, 5, 6);3;0,89;0,0;0,0;0,043;0,0252;0,068
(3, 4, 5);3;0,9099999999999999;0,0;0,0;0,0314;0,0198;0,051
(3, 4, 5, 6);4;0,8699999999999999;0,0;0,0;0,038;0,026000000000000002;0,064
(3, 4, 6);3;0,9200000000000002;0,0;0,0;0,032600000000000004;0,012199999999999999;0,045
(3, 5, 6);3;0,89;0,0;0,0;0,04139999999999999;0,0284;0,07
(4, 5, 6);3;0,8699999999999999;0,0;0,0;0,047799999999999995;0,0268;0,075
