Class combination;Number of classes;mean_good_accuracy;l1;min_l1;l2;min_l2;l3;min_l3;n1;min_n1;n2;min_n2;n4;min_n4;sum_measures;mean_measures
(1, 2, 3);3;0,83;0,9105503783034887;0,0;0,92386979494137;0,0;0,946204698095228;0,0;0,9411762427861811;0,0795;0,8901228988535759;0,54753125;0,8434231481172504;0,10178124999999999;0,729;0,121
(1, 2, 3, 4);4;0,82125;0,941511011887599;0,0;0,9502269304644947;0,0;0,9689756066734905;0,0;0,9750978731069813;0,05475;0,6947161517325214;0,613;0,9194097662655244;0,066125;0,734;0,122
(1, 2, 3, 4, 5);5;0,82;0,9629439284799872;0,00021875;0,9590761723666128;0,00021875;0,9677391484923348;3,125e-05;0,9751962495961798;0,04765625;0,7865862048046275;0,67190625;0,956964326828977;0,05228125;0,772;0,129
(1, 2, 3, 4, 5, 6);6;0,7881250000000001;0,9851161225421724;0,0009375;0,9824570667504348;0,0009375;0,9854770347545838;6,25e-05;0,9857990526434312;0,04334375;0,8630751793903454;0,716;0,9677134789283721;0,04728125;0,809;0,135
(1, 2, 3, 4, 6);5;0,813125;0,9747157868051363;0,00015625;0,9774129704892961;0,00015625;0,9881121473782847;0,0;0,9865625637769165;0,0441875;0,8228184132876879;0,6710625;0,9633450867889214;0,04909375;0,765;0,127
(1, 2, 3, 5);4;0,8103125;0,9903712109971468;0,00065625;0,9912897448474579;0,00065625;0,9832350311174226;3,125e-05;0,9398776583286006;0,059656249999999994;0,944244885628039;0,617;0,9130871231227302;0,06768750000000001;0,746;0,124
(1, 2, 3, 5, 6);5;0,7959375;0,9758817126200209;0,001;0,9736107420632795;0,001;0,9544673350068779;0,000125;0,9598803483493219;0,050437499999999996;0,9550981352409388;0,673;0,9247539243220894;0,0573125;0,783;0,13
(1, 2, 3, 6);4;0,8075;0,9700694199957032;0,0;0,9664909038988008;0,0;0,9399795813021544;0,0;0,9383050996125504;0,05646875;0,9105637147105529;0,61465625;0,8864095823484832;0,0685625;0,74;0,123
(1, 2, 4);3;0,8618750000000001;0,9683212239426742;0,0;0,9678742828675291;0,0;0,9541465619391294;0,0;0,8929977343118479;0,061375;0,729860310683003;0,53209375;0,8498964489224067;0,07206250000000002;0,666;0,111
(1, 2, 4, 5);4;0,848125;0,9840253101321963;0,000625;0,9822078426443329;0,000625;0,9536311441643276;6,25e-05;0,9654272716644443;0,049093750000000005;0,8293664850970449;0,61146875;0,9252269361273594;0,052875;0,715;0,119
