Class combination;Number of classes;mean_good_accuracy;clsCoef;density;f1;f3;f4;hubs;l1;l2;l3;n1;n2;n4;sum_measures;mean_measures
(1, 2, 3);3;0,8400000000000001;0,0928;0,6212;0,61;0,736;0,0;0,48020000000000007;0,0;0,0;0,0;0,069;0,5054000000000001;0,0536;3,168;0,264
(1, 2, 3, 4);4;0,8459999999999999;0,1254;0,6588;0,598;0,594;0,0;0,5035999999999999;0,0;0,0;0,0;0,04359999999999999;0,5828;0,041999999999999996;3,148;0,262
(1, 2, 3, 4, 5);5;0,82;0,1386;0,6304000000000001;0,636;0,58;0,0;0,458;0,0;0,0;0,0;0,04259999999999999;0,6562;0,036000000000000004;3,178;0,265
(1, 2, 3, 4, 5, 6);6;0,8;0,13820000000000002;0,6314;0,679;0,53;0,0;0,46080000000000004;0,0006000000000000001;0,0006000000000000001;0,0;0,038;0,7023999999999999;0,034800000000000005;3,216;0,268
(1, 2, 3, 4, 6);5;0,8299999999999998;0,1302;0,6734;0,647;0,519;0,0;0,502;0,0;0,0;0,0;0,039400000000000004;0,6496;0,035800000000000005;3,196;0,266
(1, 2, 3, 5);4;0,8299999999999998;0,1558;0,6609999999999999;0,637;0,703;0,0;0,495;0,0;0,0;0,0;0,05600000000000001;0,5980000000000001;0,0464;3,352;0,279
(1, 2, 3, 5, 6);5;0,8100000000000002;0,09839999999999999;0,5952;0,653;0,603;0,0;0,4258;0,001;0,001;0,0;0,046799999999999994;0,6496000000000001;0,0402;3,114;0,26
(1, 2, 3, 6);4;0,8299999999999998;0,09659999999999999;0,6454000000000001;0,62;0,603;0,0;0,4875999999999999;0,0;0,0;0,0;0,0538;0,5758;0,045599999999999995;3,128;0,261
(1, 2, 4);3;0,8699999999999999;0,16820000000000002;0,7457999999999999;0,519;0,576;0,0;0,615;0,0;0,0;0,0;0,053000000000000005;0,484;0,045;3,206;0,267
(1, 2, 4, 5);4;0,86;0,184;0,731;0,582;0,573;0,0;0,5054000000000001;0,0;0,0;0,0;0,0412;0,5908;0,038200000000000005;3,246;0,27
