Class combination;Number of classes;mean_good_accuracy;clsCoef;density;f1;f2;f3;f4;hubs;l1;l2;l3;lsc;n1;n2;n4;t1;t2;t3;t4
(1, 2, 3);3;0,8400000000000001;0,8632107612423514;0,9474336267329111;0,8816672279685256;0,3409158237998188;0,8219728016968266;0,7982758316760398;0,9398686699834469;0,9105503783034887;0,92386979494137;0,946204698095228;0,028870559114717375;0,9411762427861811;0,8901228988535774;0,8434231481172504;0,7188755523071635;0,6227681939204655;0,701461830619403;0,5469289602559505
(1, 2, 3, 4);4;0,843;0,6706748699141144;0,8429691768690207;0,9770227873094633;0,6244395342501847;0,9549013863710192;0,8864080219770586;0,8217618623346178;0,941511011887599;0,9502269304644947;0,9689756066734905;0,08233839124873993;0,9750978731069813;0,694716151732522;0,9194097662655244;0,6131204934378756;0,5118241833418864;0,5108576031342252;0,421006667475437
(1, 2, 3, 4, 5);5;0,82;0,6985477138748488;0,7264598507220836;0,9529614480904623;0,5766596117435057;0,9832992817346279;0,922071463882736;0,6801012912054648;0,9629439284799872;0,9590761723666128;0,9677391484923348;0,16348253292666384;0,9751962495961798;0,7865862048046279;0,956964326828977;0,6666271945316345;0,6106772950551581;0,607798499629536;0,46700417260150806
(1, 2, 3, 4, 5, 6);6;0,8;0,7888613810459605;0,7668563479910833;0,9570819659068204;0,5086221477090063;0,975259034829944;0,8552883973684291;0,7307949589184805;0,9851161225421724;0,9824570667504348;0,9854770347545838;0,40777559677130126;0,9857990526434312;0,8630751793903454;0,9677134789283721;0,7210486286175498;0,6197544812720372;0,6414887387981059;0,43410685158154555
(1, 2, 3, 4, 6);5;0,8299999999999998;0,8109350744882422;0,8046731212934879;0,9178875874673964;0,5770959516147708;0,9783939725946356;0,8840535744966337;0,7829410986972082;0,9747157868051363;0,9774129704892961;0,9881121473782847;0,3513100583270199;0,9865625637769165;0,8228184132876871;0,9633450867889214;0,6512750313477236;0,5483184715179111;0,5773957429013582;0,3696426997873483
(1, 2, 3, 5);4;0,825;0,8773594440800666;0,8291010749953581;0,8482759582226461;0,3720189041330117;0,7906531788539773;0,6249245750195488;0,8213969026981238;0,9903712109971468;0,9912897448474579;0,9832350311174226;0,517207096784579;0,9398776583286006;0,944244885628039;0,9130871231227302;0,8267968164787199;0,8088158765449204;0,8376823617201989;0,627451384868112
(1, 2, 3, 5, 6);5;0,8100000000000002;0,8615862856191415;0,8202085652630233;0,8870305534507597;0,3037784997674489;0,9396606604062838;0,6280604552920164;0,8123912112056629;0,9758817126200209;0,9736107420632795;0,9544673350068779;0,7690123519433977;0,9598803483493219;0,9550981352409379;0,9247539243220894;0,8774982112147075;0,838712147205629;0,8661608172376869;0,5419074543661995
(1, 2, 3, 6);4;0,8299999999999998;0,8670691034398015;0,8198079335192521;0,9372084775239549;0,26600430803272784;0,7967550735737036;0,578289759967946;0,7942820030879586;0,9700694199957032;0,9664909038988008;0,9399795813021544;0,7736998198562691;0,9383050996125504;0,9105637147105529;0,8864095823484832;0,8647919376898453;0,8197138629810702;0,8633920227971753;0,4972241360999836
(1, 2, 4);3;0,8699999999999999;0,5806673154419164;0,7018307627241933;0,9288646044141148;0,6408262425213241;0,959871774759772;0,7594670253458835;0,6174965243412414;0,9683212239426742;0,9678742828675291;0,9541465619391294;0,43533224261684567;0,8929977343118479;0,7298603106830034;0,8498964489224067;0,565854630662739;0,6530822286943275;0,6449278738913932;0,5342165483617629
(1, 2, 4, 5);4;0,86;0,8197113010018973;0,8197929421331261;0,8431394641984238;0,6161579793751358;0,9475794286799423;0,7829588812272463;0,8512523671155677;0,9840253101321963;0,9822078426443329;0,9536311441643276;0,38905324020381377;0,9654272716644443;0,8293664850970449;0,9252269361273594;0,700031835976332;0,7718009142458548;0,7529756253162008;0,6846004138308617
(1, 2, 4, 5, 6);5;0,8100000000000002;0,8374307357248221;0,7741599620469579;0,8789957761376495;0,546080374110829;0,9661217585197254;0,8414256298388598;0,7369462291628912;0,9735870026729779;0,9705320414008182;0,9669941921698159;0,28698539306190796;0,9707433186780697;0,822173223464136;0,9555414543719435;0,7595880658443025;0,6828860834388272;0,7032415693038494;0,4176484417021959
(1, 2, 4, 6);4;0,8400000000000001;0,8020293546294615;0,37279907355900616;0,7123313716080703;0,4805811372718702;0,9588100916486197;0,6686169407005729;0,14381335172445528;0,9724696383279362;0,9682642100207702;0,9451345572986589;0,2958447609094884;0,9579598468215733;0,7498789794916014;0,9198826880928662;0,8103150312050561;0,6655342597657357;0,6820261245707411;0,5591310840851101
(1, 2, 5);3;0,86;0,9731012621100208;0,9771012101745464;0,7930841588085247;0,43240097689162926;0,8971587508864737;0,5674738912132682;0,970918694304267;0,9797707414967506;0,9740795536623017;0,9494925554618568;0,9710158281650632;0,9337774046398306;0,927067381280696;0,9017388226810945;0,6904880488539005;0,7930375862579043;0,8308728578700826;0,6674484468449615
(1, 2, 5, 6);4;0,833;0,875169281590324;0,8694199256012868;0,6456266068251005;0,2926439423774709;0,8509379599378699;0,6046259645256938;0,8719173877634888;0,9485875779456405;0,9469070114990994;0,9060785530264208;0,6168211223077937;0,964284278661815;0,929312803360805;0,8926395538332172;0,8644419337157855;0,7821961445462097;0,8150046470275945;0,3859120171155321
(1, 2, 6);3;0,85;0,7933227615373815;0,8572731701609322;0,7978104072769175;0,19378689467870766;0,7754781295340192;0,42153301420547534;0,828669592878281;0,9113497969947725;0,8997984960983267;0,8399838433666916;0,7757458616791351;0,8824148447569204;0,8865282584794062;0,8486995851480728;0,8363284174775304;0,8453803684071479;0,8744472960010821;0,44561624506794134
(1, 3, 4);3;0,9099999999999999;0,4301523452737076;0,7054329440993446;0,9639473129503942;0,720096908701937;0,9508813122496989;0,9023324810289604;0,7576150197286178;0,868066166088274;0,8899819060290733;0,9476123435539662;0,13399929560505353;0,9336492016163148;0,47084974873521845;0,8965538547711069;0,27150844610277564;0,34241187388215805;0,3157695454314825;0,8504906774720493
(1, 3, 4, 5);4;0,89;0,5920649981163452;0,669193113779708;0,9791685507737199;0,619892366940852;0,9721107113837991;0,9515765329157708;0,7032368255058963;0,9339464055236966;0,9496248344724821;0,976144605447936;0,0950063464758205;0,9369460400258965;0,5974240194952002;0,9506045123457216;0,3390880870118036;0,47449837563745273;0,48079749187153414;0,40942382038657876
(1, 3, 4, 5, 6);5;0,8400000000000001;0,8153403756835863;0,760067038617802;0,935214397681522;0,5692097185217642;0,967140155139644;0,8502547697372803;0,7457311877491675;0,983836165748562;0,9823311249071055;0,9728426601751448;0,28522857109478184;0,9711937210030056;0,8500886599985387;0,9515492967219711;0,6775926385779133;0,6517130351026634;0,681460818106932;0,5200388105476929
(1, 3, 4, 6);4;0,8699999999999999;0,8181253184304107;0,8038997744335817;0,976378737590422;0,6623474047201151;0,9833139118353332;0,9113955556693699;0,7924915688470019;0,9773674022807096;0,9820634049696155;0,9902026608332567;0,10725179054846877;0,9787258289104109;0,7315570279211304;0,952805278532031;0,4087046795584937;0,4901545245989428;0,5220354138407516;0,5012081486735572
(1, 3, 5);3;0,9200000000000002;0,8277985207656602;0,7711175735786755;0,8220881622824243;0,7072013697094393;0,8497290298926877;0,8223328287726729;0,7603814565187743;0,9771330468149517;0,9820272835977384;0,9474495238930024;0,5442511120894307;0,9564208050333355;0,8566148139586156;0,9308530285842784;0,6481530677083208;0,7215722472682023;0,7782358433814975;0,8814353852891302
(1, 3, 5, 6);4;0,86;0,8283777280661034;0,7847829586831641;0,8872698468482418;0,3526132370274399;0,9596011894720845;0,7085227920741942;0,7592394271016899;0,9773268489005859;0,975065029349843;0,9494914076049915;0,6659915272167453;0,9752533227485143;0,9282942474855521;0,9454780300771912;0,8471345110153835;0,7469446073362348;0,8243923273279251;0,5356867876819693
(1, 3, 6);3;0,9099999999999999;0,8641370053913275;0,8219681935278956;0,876508146174284;0,35441497965870933;0,8913563610613953;0,6720049667141792;0,7966761330730446;0,9754496795670731;0,9709497124128446;0,9347532145790928;0,5890519701872753;0,9832191023495432;0,9346749212152816;0,9295324654067781;0,8188952513544724;0,7431151183723029;0,8146577285319166;0,5548765130082441
(1, 4, 5);3;0,933;0,6122415050828681;0,6819125429406387;0,6370192698063166;0,7556616392373328;0,9370032738195717;0,8084548921790983;0,7294746034218507;0,9636289510488463;0,9737586328863991;0,9731312776780218;0,20081546478372353;0,8983758881320764;0,667418129806455;0,8988151225770388;0,6052100090658585;0,5806252420734842;0,5763219855963534;0,8319033518340401
(1, 4, 5, 6);4;0,8800000000000001;0,46508702422244247;0,28381266320200155;0,6957118258999713;0,6553750065323064;0,8205055512714161;0,7534533292143707;0,4027471822061539;0,9083305465382215;0,9081916097219974;0,8732912407721253;0,02833501658119747;0,9334250696321075;0,7794304182545622;0,9145872474140463;0,7075797064407302;0,6254594279597219;0,6626851459033682;0,6720608647005161
(1, 4, 6);3;0,908;0,5687330579866553;0,4022972000266684;0,6605725060053389;0,7061486753949294;0,8281773818773265;0,718967092072911;0,44902504118878134;0,8915556088313333;0,9075390278434384;0,9123988684595554;0,24663261011368065;0,9253247978409701;0,5756966646597362;0,854892133234471;0,38401575562827306;0,43173178399795364;0,4662563052586706;0,8033733924901466
(1, 5, 6);3;0,9;0,8226891238048738;0,8661186028848968;0,7426830668308456;0,42602937953127906;0,845739893128317;0,694111142669556;0,8455028236429408;0,9310779428133036;0,9268610147876308;0,8712259967798339;0,5489760043650407;0,9483753133232721;0,9216918183133824;0,9026447928559328;0,7844793284266476;0,7604295126807137;0,8218824898695829;0,5829483144622647
(2, 3, 4);3;0,9099999999999999;0,6490173122227414;0,8038901415351963;0,8809155880285613;0,2989892814525934;0,7453986466863822;0,7182384116967488;0,76482600539572;0,938316319337284;0,9446038554357705;0,9298687085352045;0,2510836021810605;0,9653437270123223;0,7865420184211976;0,8833249712482648;0,6913758244214584;0,6164086882416904;0,6171811447249751;0,16890523589918605
(2, 3, 4, 5);4;0,8699999999999999;0,6530365424993355;0,6800490201128683;0,9568835681636748;0,37458178320940866;0,9370989133383317;0,7745421918612554;0,6215857090150461;0,98731265658535;0,9897110433849863;0,9886914777215635;0,2075962799509158;0,9521856486760754;0,8408562750452637;0,9337864640492003;0,6316823777338103;0,6704880634386374;0,6865906027374202;0,25712152420528067
(2, 3, 4, 5, 6);5;0,8299999999999998;0,7561634931445574;0,7556597928582706;0,9609375352698238;0,607404691222047;0,9434319720805454;0,8715954059698394;0,6868459625316586;0,9732308394424767;0,9726950372255188;0,9805514441829251;0,38234470332810744;0,9651135155062036;0,8467328609674322;0,9559678571933229;0,647207103719246;0,5995490935776682;0,6329080593968548;0,48386093780109724
(2, 3, 4, 6);4;0,8800000000000001;0,7106404109840949;0,740267277509917;0,8871878906299007;0,5869925142538391;0,9546949078947177;0,756544239969424;0,7206880637165428;0,9637354509800409;0,9662363571670085;0,9553405934544204;0,3781224504976528;0,9618776685142052;0,8208131566552932;0,9428372750794803;0,6324501648034994;0,5685632694969944;0,6094035588667434;0,46995617494187325
(2, 3, 5);3;0,9;0,8642123549335545;0,8266675256912928;0,7276773346919913;0,363010858949375;0,8661563112549506;0,6697586997286337;0,827779364145248;0,9702106376580293;0,9707277472085482;0,9362049605290852;0,059775718136207225;0,8707949680078175;0,967789837328376;0,8455793076587774;0,9028655863552948;0,8906379078610326;0,9160031681519627;0,744017761970639
(2, 3, 5, 6);4;0,8540000000000001;0,8245139066547664;0,8340400317563887;0,7676075695971653;0,32104348534622806;0,9433923218058029;0,7294304852156107;0,8032999969179616;0,9789588223379303;0,9768259768777273;0,9546341459439093;0,6848277131571223;0,9330303792923064;0,956815553565784;0,887502199473142;0,8702343614688774;0,7849269493935677;0,8286820332660665;0,579028168684836
(2, 3, 6);3;0,924;0,8616075842209512;0,8501486831606074;0,4237024244208519;0,1623496853037306;0,577914694982566;0,4145704804898129;0,7952173072511093;0,8923314191776449;0,8737100681288685;0,796814963043235;0,8867268366050459;0,8556158735440589;0,8837758423591219;0,8156101371336458;0,8650143825990718;0,8957064231691445;0,9211483823807944;0,5623671193756495
(2, 4, 5);3;0,9200000000000002;0,6392874286515013;0,5804871348074041;0,9304346114050719;0,6948193004763323;0,9333345968959498;0,6795887733712568;0,3923220726380601;0,984371663561767;0,9810783838192226;0,9562823972712126;0,44633923383527424;0,9611910276446888;0,8003254706361088;0,912428730197336;0,35809497649609257;0,7306010257677635;0,7385604100528665;0,40306419261692533
(2, 4, 5, 6);4;0,8550000000000001;0,7622122878010761;0,8362067258890045;0,9068681556645265;0,7094164670716084;0,9649053988689235;0,9278780209692802;0,8291959695127039;0,9543795472285572;0,9637584216011709;0,9793140744456853;0,1356039387095706;0,9083216778361941;0,6719188965486202;0,9022164039553806;0,571802355743197;0,4833499671468323;0,51361733680687;0,5611881043934178
(2, 4, 6);3;0,9;0,4343823990348311;0,4267093260653296;0,9552694770041611;0,8750088909846713;0,9411469922544526;0,913366833839348;0,2737074625132447;0,8499206461326002;0,8709169707163297;0,9223827256376598;0,3274997850794103;0,9265416802853977;0,526040267741043;0,866724365278513;0,33798436430326845;0,4538176771197489;0,46478703477281;0,8180500237816831
(2, 5, 6);3;0,89;0,7522059206602063;0,8085220434763619;0,7753306914795761;0,3396690589503189;0,6168074813543551;0,651532720070989;0,8237481172907074;0,8912535841138859;0,894771380725939;0,8449370208021036;0,5439895777305441;0,6104529127212375;0,8461997100784385;0,5027419009694001;0,7734371874911832;0,7110026623635148;0,7560409943660713;0,49418643594115474
(3, 4, 5);3;0,905;0,5644239160181687;0,6468243077945517;0,9484559356707741;0,4361899557730757;0,9393910796737884;0,7065133453394634;0,5347109277362749;0,9711902226606134;0,9792241164700297;0,9822908823181372;0,005408706749196994;0,9184084793110493;0,7742246310601635;0,9240575148512077;0,3989730726135965;0,587205823846614;0,6043507687023807;0,3820531390499115
(3, 4, 5, 6);4;0,8699999999999999;0,6212456010312903;0,616429235161702;0,9076183494264723;0,6982690937617488;0,886661825342757;0,9088900610075094;0,6141141885503644;0,9283573294508145;0,9386595842176858;0,9574025405414472;0,04323260873904978;0,9657933973936108;0,6584195365793089;0,9154412062958484;0,37758408532375703;0,3952826609653398;0,44677988687667564;0,53196952642125
(3, 4, 6);3;0,9200000000000002;0,6854196230493459;0,647337001978145;0,9305912582303363;0,7736384080563228;0,9472179748463414;0,864516534064972;0,6526920357175323;0,9626325117538665;0,9658517351284461;0,9633173159912058;0,21654881773405382;0,9322147897761079;0,7661292328935707;0,9136008773729984;0,41352526316689664;0,5355532683926386;0,5687979115376771;0,6912334766950723
(3, 5, 6);3;0,89;0,5621432670004273;0,553897967929057;0,8994312109074823;0,48225461121362845;0,6372884032988847;0,8605208427013445;0,5201038990301463;0,8734828540217994;0,8956515758031266;0,9091758991184676;0,1947011926181417;0,831942419901463;0,627562875004325;0,7350628104004541;0,4764966515854482;0,3064583670794497;0,41628977843663945;0,46442668698508266
(4, 5, 6);3;0,8699999999999999;0,7613160044902219;0,7182386439327035;0,8625504908674775;0,670221220607594;0,9152472260050186;0,8442512926290265;0,6926372047849958;0,9283949616384676;0,9329696734071057;0,9225571119019934;0,09771780131350513;0,8077590354371673;0,8080128676305087;0,8198897317668867;0,61224916723929;0,5791242028407965;0,6320568411467758;0,5573654009203405
