Class combination;Number of classes;mean_good_accuracy;clsCoef;density;f1;f2;f3;f4;hubs;l1;l2;l3;lsc;n1;n2;n4;t1;t2;t3;t4;sum_measures
(1, 2, 3);3;0,792;0,7176;0,1162;0,779;0,0;0,861;0,0006000000000000001;0,23929999999999998;0,053700000000000005;0,0479;0,028300000000000002;0,028400000000000026;0,08769999999999999;0,44959999999999994;0,1257;0,123;0,2847;0,8814;0,16849999999999998;4,9925999999999995
(1, 2, 3, 4);4;0,8240000000000001;0,7316;0,12050000000000001;0,6850000000000002;0,0;0,7612;0,0005;0,25559999999999994;0,045;0,040799999999999996;0,0212;0,06020000000000001;0,0551;0,38520000000000004;0,0823;0,3901;0,5021000000000001;0,9317;0,1397;5,207800000000001
(1, 2, 3, 4, 5);5;0,782;0,7001;0,1412;0,7190000000000001;0,0;0,7703;0,0008;0,2878;0,0304;0,0268;0,014499999999999999;0,04450000000000004;0,051000000000000004;0,32520000000000004;0,0709;0,366;0,457;0,9297000000000001;0,13010000000000002;5,0653
(1, 2, 3, 4, 5, 6);6;0,78;0,6884;0,11610000000000001;0,804;0,0;0,7345999999999999;0,0005;0,2529;0,022300000000000004;0,0196;0,0095;0,04040000000000003;0,046799999999999994;0,28130000000000005;0,06470000000000001;0,3698;0,4939;0,9341000000000002;0,13079999999999997;5,0097
(1, 2, 3, 4, 6);5;0,8009999999999999;0,6896;0,11759999999999997;0,747;0,0;0,7262;0,0;0,2894;0,021899999999999996;0,0194;0,009600000000000001;0,04540000000000004;0,0501;0,3252;0,0655;0,36419999999999997;0,4077;0,924;0,1297;4,9325
(1, 2, 3, 5);4;0,765;0,6786;0,10779999999999998;0,792;0,0;0,8173;0,003;0,23339999999999997;0,030300000000000004;0,027700000000000002;0,0124;0,03210000000000003;0,0693;0,37929999999999997;0,0978;0,19179999999999997;0,2452;0,8972000000000001;0,1366;4,751799999999999
(1, 2, 3, 5, 6);5;0,756;0,6893;0,13629999999999998;0,807;0,0;0,7852;0,0015;0,29500000000000004;0,03;0,026600000000000002;0,013599999999999998;0,03280000000000003;0,058800000000000005;0,32359999999999994;0,0809;0,28880000000000006;0,43879999999999997;0,9244;0,13489999999999996;5,067500000000001
(1, 2, 3, 6);4;0,7969999999999999;0,6987;0,11029999999999998;0,784;0,0;0,8;0,0023;0,22759999999999994;0,0196;0,017400000000000002;0,0085;0,03310000000000003;0,0684;0,3795;0,1015;0,22369999999999995;0,2036;0,8990000000000002;0,1271;4,7043
(1, 2, 4);3;0,8710000000000001;0,7597000000000002;0,1302;0,587;0,0;0,7659;0,001;0,259;0,039999999999999994;0,0377;0,0194;0,07809999999999996;0,0489;0,4694;0,08499999999999999;0,42889999999999995;0,5452999999999999;0,9450999999999998;0,11969999999999999;5,3203
(1, 2, 4, 5);4;0,8130000000000001;0,7154;0,1145;0,654;0,0;0,7659;0,0001;0,23810000000000003;0,024;0,0223;0,0089;0,05060000000000005;0,0498;0,3845;0,06970000000000001;0,3721;0,3557;0,923;0,12149999999999998;4,8701
(1, 2, 4, 5, 6);5;0,8009999999999999;0,7055;0,10899999999999999;0,779;0,0;0,751;0,0014;0,2394000000000001;0,0198;0,0182;0,0079;0,04480000000000004;0,0477;0,3256;0,060999999999999985;0,3849;0,4746;0,9365;0,1222;5,0285
(1, 2, 4, 6);4;0,845;0,7224;0,1224;0,691;0,0;0,7406;0,0006000000000000001;0,25199999999999995;0,018800000000000004;0,0172;0,007400000000000001;0,054000000000000034;0,0501;0,3841;0,06280000000000001;0,3946;0,3942;0,9298000000000002;0,11699999999999999;4,9590000000000005
