Class combination;Number of classes;mean_good_accuracy;f1;min_f1;f2;min_f2;f3;min_f3;f4;min_f4;l1;min_l1;l2;min_l2;l3;min_l3;n1;min_n1;n2;min_n2;n4;min_n4
(1, 2, 3);3;0,775625;0,738;0,779;0,404;0,0;0,875;0,861;0,902;0,0;0,874;0,018;0,892;0,016;0,924;0,008;0,946;0,088;0,964;0,552;0,898;0,132
(1, 2, 3, 4);4;0,8106249999999999;0,736;0,685;0,436;0,0;0,915;0,761;0,888;0,0;0,923;0,015;0,928;0,014;0,952;0,006;0,946;0,062;0,95;0,619;0,924;0,088
(1, 2, 3, 4, 5);5;0,7709375;0,892;0,719;0,468;0,0;0,875;0,758;0,891;0,0;0,939;0,018;0,925;0,016;0,928;0,007;0,946;0,053;0,966;0,676;0,939;0,071
(1, 2, 3, 4, 5, 6);6;0,7681250000000001;0,891;0,804;0,724;0,0;0,939;0,733;0,897;0,0;0,936;0,016;0,922;0,014;0,923;0,006;0,955;0,049;0,953;0,719;0,942;0,065
(1, 2, 3, 4, 6);5;0,79;0,893;0,747;0,707;0,0;0,949;0,726;0,929;0,0;0,95;0,014;0,947;0,012;0,952;0,006;0,958;0,053;0,954;0,676;0,961;0,07
(1, 2, 3, 5);4;0,750625;0,622;0,792;0,564;0,0;0,951;0,814;0,793;0,003;0,953;0,023;0,954;0,021;0,957;0,008;0,971;0,069;0,946;0,621;0,938;0,099
(1, 2, 3, 5, 6);5;0,744375;0,839;0,807;0,435;0,0;0,94;0,782;0,823;0,001;0,921;0,019;0,907;0,017;0,907;0,007;0,98;0,061;0,96;0,677;0,938;0,083
(1, 2, 3, 6);4;0,7837500000000001;0,775;0,784;0,402;0,0;0,883;0,8;0,822;0,002;0,928;0,017;0,93;0,015;0,936;0,006;0,972;0,068;0,973;0,621;0,91;0,101
(1, 2, 4);3;0,8512500000000001;0,867;0,587;0,511;0,0;0,802;0,755;0,923;0,0;0,911;0,007;0,927;0,007;0,945;0,002;0,955;0,059;0,831;0,544;0,859;0,085
(1, 2, 4, 5);4;0,798125;0,949;0,654;0,508;0,0;0,769;0,759;0,951;0,0;0,942;0,009;0,941;0,008;0,963;0,003;0,979;0,051;0,885;0,618;0,948;0,07
(1, 2, 4, 5, 6);5;0,7878125;0,957;0,779;0,761;0,0;0,91;0,741;0,961;0,0;0,91;0,009;0,906;0,008;0,929;0,003;0,976;0,05;0,839;0,675;0,965;0,066
(1, 2, 4, 6);4;0,8318749999999999;0,94;0,691;0,749;0,0;0,883;0,73;0,955;0,0;0,935;0,007;0,942;0,006;0,971;0,001;0,977;0,054;0,858;0,618;0,95;0,07
(1, 2, 5);3;0,7934375;0,867;0,738;0,634;0,0;0,937;0,818;0,771;0,001;0,941;0,01;0,95;0,01;0,955;0,002;0,96;0,068;0,962;0,548;0,946;0,099
(1, 2, 5, 6);4;0,7740625000000001;0,822;0,773;0,537;0,0;0,945;0,786;0,908;0,0;0,867;0,009;0,857;0,009;0,885;0,002;0,969;0,063;0,87;0,62;0,959;0,089
(1, 2, 6);3;0,8049999999999999;0,755;0,731;0,475;0,0;0,936;0,809;0,834;0,0;0,896;0,005;0,911;0,005;0,933;0,001;0,965;0,069;0,938;0,548;0,912;0,104
(1, 3, 4);3;0,89625;0,828;0,566;0,467;0,0;0,951;0,739;0,863;0,001;0,943;0,001;0,955;0,001;0,959;0,0;0,978;0,041;0,937;0,545;0,936;0,058
(1, 3, 4, 5);4;0,830625;0,886;0,668;0,454;0,0;0,811;0,753;0,927;0,0;0,942;0,01;0,939;0,009;0,947;0,003;0,961;0,042;0,953;0,618;0,957;0,06
(1, 3, 4, 5, 6);5;0,8146875;0,956;0,767;0,758;0,0;0,875;0,735;0,95;0,0;0,924;0,01;0,916;0,009;0,927;0,003;0,971;0,044;0,895;0,676;0,964;0,058
(1, 3, 4, 6);4;0,863125;0,904;0,671;0,722;0,0;0,935;0,719;0,912;0,0;0,973;0,003;0,976;0,002;0,978;0,001;0,978;0,045;0,946;0,618;0,962;0,057
(1, 3, 5);3;0,8290625;0,587;0,77;0,534;0,0;0,964;0,811;0,818;0,0;0,963;0,012;0,967;0,011;0,97;0,003;0,977;0,054;0,937;0,549;0,955;0,08
(1, 3, 5, 6);4;0,8034375;0,839;0,773;0,487;0,0;0,916;0,773;0,851;0,0;0,928;0,01;0,926;0,009;0,922;0,003;0,977;0,056;0,951;0,62;0,949;0,077
(1, 3, 6);3;0,8578125000000001;0,747;0,711;0,49;0,0;0,945;0,78;0,825;0,004;0,924;0,004;0,937;0,003;0,958;0,001;0,979;0,056;0,964;0,548;0,936;0,078
(1, 4, 5);3;0,850625;0,961;0,587;0,571;0,0;0,529;0,798;0,95;0,0;0,869;0,001;0,897;0,001;0,933;0,001;0,93;0,048;0,732;0,544;0,936;0,065
(1, 4, 5, 6);4;0,816875;0,79;0,72;0,754;0,0;0,819;0,777;0,98;0,002;0,908;0,004;0,918;0,003;0,951;0,001;0,976;0,052;0,727;0,618;0,967;0,064
(1, 4, 6);3;0,873125;0,807;0,636;0,7;0,0;0,744;0,777;0,947;0,0;0,908;0,001;0,925;0,001;0,958;0,0;0,955;0,051;0,73;0,544;0,928;0,055
(1, 5, 6);3;0,8231249999999999;0,875;0,72;0,772;0,0;0,73;0,81;0,833;0,0;0,763;0,001;0,781;0,001;0,833;0,0;0,937;0,066;0,623;0,548;0,92;0,089
(2, 3, 4);3;0,8446875;0,628;0,495;0,4;0,0;0,444;0,696;0,777;0,001;0,931;0,01;0,938;0,01;0,936;0,002;0,629;0,067;0,947;0,544;0,774;0,082
(2, 3, 4, 5);4;0,8134375;0,872;0,599;0,474;0,0;0,709;0,748;0,863;0,0;0,941;0,014;0,938;0,013;0,939;0,004;0,818;0,055;0,963;0,618;0,883;0,068
(2, 3, 4, 5, 6);5;0,8059375;0,894;0,753;0,791;0,0;0,936;0,719;0,889;0,0;0,93;0,012;0,926;0,011;0,928;0,004;0,893;0,049;0,934;0,675;0,889;0,065
(2, 3, 4, 6);4;0,8343749999999999;0,806;0,657;0,738;0,0;0,901;0,7;0,873;0,0;0,952;0,01;0,954;0,01;0,963;0,003;0,855;0,053;0,957;0,618;0,906;0,073
(2, 3, 5);3;0,8059375;0,691;0,743;0,656;0,0;0,879;0,842;0,738;0,001;0,947;0,016;0,953;0,015;0,952;0,004;0,919;0,079;0,95;0,548;0,882;0,101
(2, 3, 5, 6);4;0,7971875;0,813;0,723;0,433;0,0;0,891;0,775;0,812;0,001;0,934;0,013;0,93;0,011;0,938;0,005;0,942;0,065;0,958;0,62;0,872;0,091
(2, 3, 6);3;0,8325;0,821;0,655;0,334;0,0;0,402;0,789;0,821;0,001;0,93;0,015;0,931;0,014;0,948;0,005;0,91;0,075;0,975;0,548;0,847;0,108
(2, 4, 5);3;0,876875;0,913;0,467;0,609;0,0;0,727;0,738;0,866;0,0;0,94;0,001;0,959;0,001;0,969;0,0;0,921;0,042;0,859;0,542;0,926;0,046
(2, 4, 5, 6);4;0,8509374999999999;0,881;0,712;0,708;0,0;0,935;0,727;0,872;0,001;0,944;0,001;0,952;0,001;0,969;0,0;0,95;0,047;0,874;0,618;0,942;0,06
(2, 4, 6);3;0,9237500000000001;0,896;0,565;0,673;0,0;0,893;0,696;0,819;0,0;0,981;0,0;0,983;0,0;0,967;0,0;0,946;0,042;0,904;0,543;0,937;0,048
(2, 5, 6);3;0,8753125;0,859;0,631;0,528;0,0;0,898;0,766;0,888;0,0;0,897;0,001;0,918;0,001;0,951;0,0;0,927;0,062;0,835;0,546;0,921;0,076
(3, 4, 5);3;0,8796875;0,839;0,536;0,544;0,0;0,608;0,739;0,925;0,0;0,9;0,003;0,916;0,003;0,94;0,0;0,888;0,041;0,898;0,544;0,911;0,047
(3, 4, 5, 6);4;0,8578125;0,952;0,683;0,882;0,0;0,869;0,73;0,955;0,005;0,893;0,005;0,905;0,005;0,935;0,001;0,949;0,044;0,799;0,618;0,947;0,06
(3, 4, 6);3;0,9134375;0,958;0,528;0,902;0,0;0,867;0,696;0,952;0,0;0,9;0,0;0,922;0,0;0,961;0,0;0,915;0,039;0,794;0,543;0,902;0,048
(3, 5, 6);3;0,8871875;0,868;0,644;0,606;0,0;0,815;0,752;0,93;0,013;0,875;0,003;0,896;0,003;0,922;0,001;0,94;0,054;0,846;0,547;0,888;0,076
