Class combination;Number of classes;mean_good_accuracy;f1;f3;f4;l1;l2;l3;n1;n2;n4;t4;sum_measures;mean_measures
(1, 2, 3);3;0,775625;0,779;0,861;0,0003125;0,01846875;0,016375;0,007625;0,08815624999999999;0,552;0,13196875000000002;0,12478125;2,58;0,258
(1, 2, 3, 4);4;0,8106249999999999;0,685;0,761;9,375e-05;0,01521875;0,0135;0,0055;0,0620625;0,619;0,08768749999999999;0,1241875;2,373;0,237
(1, 2, 3, 4, 5);5;0,7709375;0,719;0,758;6,25e-05;0,018250000000000002;0,0163125;0,00746875;0,053125;0,676;0,07140625;0,13037500000000002;2,45;0,245
(1, 2, 3, 4, 5, 6);6;0,7681250000000001;0,804;0,733;0,00025;0,01621875;0,014343749999999999;0,0065;0,04853125;0,719;0,06478125000000001;0,13075;2,537;0,254
(1, 2, 3, 4, 6);5;0,79;0,747;0,726;0,0;0,014187499999999999;0,01240625;0,0059375;0,053375;0,67596875;0,07046875;0,12509375;2,43;0,243
(1, 2, 3, 5);4;0,750625;0,792;0,814;0,00315625;0,02303125;0,0206875;0,00821875;0,06943750000000001;0,621;0,09918750000000001;0,13440625;2,585;0,259
(1, 2, 3, 5, 6);5;0,744375;0,807;0,782;0,0013125;0,018593750000000003;0,0166875;0,0073124999999999996;0,0609375;0,677;0,08299999999999999;0,13137500000000002;2,585;0,259
(1, 2, 3, 6);4;0,7837500000000001;0,784;0,8;0,00203125;0,01671875;0,0150625;0,0064375000000000005;0,06840625;0,6209687500000001;0,1010625;0,12525;2,54;0,254
(1, 2, 4);3;0,8512500000000001;0,587;0,755;0,0;0,0071875;0,0065625;0,00175;0,05925;0,5436562500000001;0,08537499999999999;0,10559374999999999;2,151;0,215
(1, 2, 4, 5);4;0,798125;0,654;0,75903125;0,0004375;0,009125000000000001;0,0083125;0,0027812500000000003;0,05115625;0,618;0,07050000000000001;0,11690624999999999;2,29;0,229
(1, 2, 4, 5, 6);5;0,7878125;0,779;0,740875;0,0001875;0,009031250000000001;0,00825;0,0025937499999999997;0,050312499999999996;0,6754687500000001;0,06640625;0,11865624999999999;2,451;0,245
(1, 2, 4, 6);4;0,8318749999999999;0,691;0,73;0,0;0,006718750000000001;0,005875;0,0013125;0,053625;0,6180625;0,07015625;0,10946875;2,286;0,229
(1, 2, 5);3;0,7934375;0,738;0,818;0,00065625;0,010156249999999999;0,010031249999999999;0,00196875;0,06846875000000001;0,54809375;0,09925;0,11781249999999999;2,412;0,241
(1, 2, 5, 6);4;0,7740625000000001;0,773;0,786;0,0001875;0,009093750000000001;0,00865625;0,0025;0,06328125;0,62;0,088625;0,11759375;2,469;0,247
(1, 2, 6);3;0,8049999999999999;0,731;0,809;0,0;0,00525;0,005000000000000001;0,00125;0,0694375;0,5481875;0,10434374999999999;0,107;2,38;0,238
