Class combination;Number of classes;mean_good_accuracy;clsCoef;density;f1;f2;f3;f4;hubs;l1;l2;l3;lsc;n1;n2;n4;t1;t2;t3;t4;sum_measures;mean_measures
(1, 2, 3);3;0,7939999999999999;0,47838005841581444;0,8826371074117769;0,7377692642103525;0,4041633889424054;0,8751044285527501;0,9017850759748558;0,9116268713214994;0,8737678184234036;0,8916882808612693;0,9240419453886297;0,803960726548152;0,9462248057765611;0,9642079484973878;0,8982489051635177;0,8499562559953863;0,6982267583592565;0,81029192971986;0,6583288440852711;5,096;0,283
(1, 2, 3, 4);4;0,828;0,9074764552941014;0,9262587280870764;0,7362872549064808;0,4364451025836261;0,9146512212357855;0,8883256505536248;0,8883661402935089;0,9231302038439982;0,9282203425708244;0,9517130355409744;0,41321600192627966;0,9458901032123679;0,9499459511005472;0,9241168839556261;0,659028890164789;0,6905024881485127;0,7094265895937122;0,5500813789071854;4,804;0,267
(1, 2, 3, 4, 5);5;0,784;0,8308876335957344;0,7459706207712243;0,8918601632193146;0,4680974441432457;0,8753227432099173;0,891411602776404;0,6728158467539027;0,9387406721171717;0,9253487899900843;0,9276180123558335;0,4841859402267053;0,9456633728622952;0,9659661834465239;0,9388647049965403;0,8699531551923175;0,7867310276765653;0,8133651223188679;0,6821723980739662;4,82;0,268
(1, 2, 3, 4, 5, 6);6;0,78;0,8662884782722365;0,7864361593707669;0,8910606403020239;0,7244984514477277;0,9392078182747094;0,8968014507567265;0,6949456537335589;0,935566569815181;0,9220961080953731;0,9234121419947233;0,49362888357039847;0,9546698250790329;0,9528487855290165;0,9416515240206763;0,8396038652733725;0,7800586743569514;0,8158915266803599;0,6733847967579683;4,933;0,274
(1, 2, 3, 4, 6);5;0,8019999999999999;0,8389810328520303;0,7831171453689498;0,8933042225009062;0,706626061450185;0,9493862063786342;0,9289944310333574;0,7035000392785277;0,949910186678058;0,9471818400468286;0,9522268634837344;0,4063098738945462;0,9579669737449218;0,953995462771156;0,9606959432367946;0,8716306242627317;0,7505554390379177;0,7892567817097556;0,6545641315188482;4,938;0,274
(1, 2, 3, 5);4;0,77;0,759554219670126;0,701046056061812;0,6220842009722202;0,5636082423153654;0,9505946550321206;0,7931843042550606;0,6727861650569865;0,9530353845273344;0,9541442550339972;0,9572620976203556;0,8804571383289501;0,9714667954213894;0,9462771697892609;0,9382084964811084;0,6148552128087009;0,8458564209071099;0,8952785584519621;0,8044525566040678;5,269;0,293
(1, 2, 3, 5, 6);5;0,76;0,939502516267685;0,8943757641501615;0,8392639442437759;0,43475766025603096;0,9398836702953791;0,8233591456921704;0,8454177649071606;0,9205243563316851;0,9069913425879128;0,907393540907877;0,00571605434133242;0,9802179831916525;0,9601730625291969;0,9377534764076151;0,8137571777121413;0,8250243998907816;0,8795769083905696;0,7090121248862661;4,906;0,273
(1, 2, 3, 6);4;0,8;0,9303818998774535;0,8849992516838786;0,7747165751747728;0,4023112436205735;0,8827783072120129;0,8222714135721046;0,8672593531921277;0,9282529611858604;0,9298167922585592;0,9359501288251395;0,2905547417312587;0,9717870115594446;0,9730335837959827;0,9095314727887289;0,8878894794605192;0,8344800690495717;0,9235620610409531;0,632353298411302;4,982;0,277
(1, 2, 4);3;0,8720000000000001;0,8251805599321513;0,8350477742126845;0,867152055467922;0,5110327723669477;0,8024389007951448;0,9233912051302483;0,7160064189889596;0,9107744976343571;0,9265881825342078;0,944578189078058;0,17509418067185942;0,9552710263876041;0,831456526337973;0,8589136676776505;0,5238483070268958;0,5428577057614156;0,5656932945459086;0,6609395811677631;4,768;0,265
(1, 2, 4, 5);4;0,8160000000000001;0,8399738828229798;0,684987746804754;0,9489743021143917;0,5083637154019143;0,768976943761953;0,950590037398844;0,5771010689259107;0,9420525771969717;0,9414492050656609;0,963157071769397;0,13743482519400343;0,9786878347060953;0,8846193347842561;0,9475980630209034;0,7948311351795403;0,6595651941197387;0,7013896792857328;0,6760709985950788;4,833;0,268
